age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
20,103.72,69.18,104.21,56.2,194.28,107.85,69.78,62.35,156.48,125.74,101.95,89.01,73.29,72.64,64.82,56.97,82.74,41.32,61.29,59.72,57.38,55.21,53.21,51.36,49.64,48.06,46.59,45.23,43.97,42.8,41.73,40.73,39.81,38.96,38.18,37.46,36.79,36.18,35.62,35.1,34.63,34.19,33.77,33.37,32.97,32.57,32.18,31.79,31.41,31.03,30.66,30.29,29.93,29.57,29.22,28.87,28.52,28.18,27.84,27.51,27.18,26.85,26.53,26.21,25.89,25.58,25.28,24.97,24.67,24.38,24.09,23.8,23.51,23.23,22.95,22.67,22.4,22.13,21.87,21.61,21.35,21.09,20.84,20.59,20.34,20.1,19.85,19.62
21,139.34,122.28,32.73,81.08,102.29,101.38,70.25,117.24,157.21,86.85,79.33,56.33,65.64,97.76,106.64,66.23,49.99,69.47,67.79,65.22,62.83,60.63,58.58,56.68,54.93,53.29,51.78,50.38,49.08,47.88,46.76,45.73,44.77,43.89,43.08,42.32,41.63,40.99,40.4,39.86,39.35,38.87,38.4,37.94,37.49,37.04,36.59,36.16,35.72,35.29,34.87,34.45,34.04,33.63,33.23,32.83,32.43,32.04,31.66,31.28,30.9,30.53,30.17,29.81,29.45,29.09,28.75,28.4,28.06,27.72,27.39,27.06,26.74,26.42,26.1,25.79,25.48,25.17,24.87,24.57,24.28,23.98,23.7,23.41,23.13,22.85,22.58,22.31
22,61.43,104.78,114.79,64.94,125.68,171.68,77.48,78.3,63.33,118.2,80.19,80.98,106.91,57.48,57.86,74.87,75.91,74.21,71.51,69.01,66.69,64.53,62.52,60.66,58.92,57.31,55.81,54.42,53.13,51.93,50.82,49.78,48.83,47.94,47.12,46.36,45.66,45.01,44.41,43.84,43.31,42.79,42.28,41.77,41.27,40.77,40.29,39.8,39.32,38.85,38.39,37.93,37.47,37.02,36.58,36.14,35.7,35.28,34.85,34.43,34.02,33.61,33.21,32.81,32.42,32.03,31.64,31.26,30.89,30.52,30.15,29.79,29.43,29.08,28.73,28.39,28.05,27.71,27.38,27.05,26.72,26.4,26.09,25.77,25.46,25.16,24.86,24.56
23,104.69,138.16,122.42,96.52,101.89,85.55,139.97,95.06,78.63,64.39,64.62,97.11,115.85,124.33,49.71,79.02,77.39,74.72,72.23,69.92,67.76,65.75,63.87,62.13,60.5,58.98,57.57,56.25,55.03,53.88,52.82,51.84,50.92,50.07,49.27,48.54,47.86,47.22,46.63,46.06,45.51,44.96,44.42,43.89,43.36,42.84,42.33,41.82,41.32,40.82,40.33,39.85,39.37,38.9,38.43,37.97,37.51,37.06,36.62,36.18,35.75,35.32,34.89,34.47,34.06,33.65,33.25,32.85,32.46,32.07,31.68,31.3,30.93,30.55,30.19,29.83,29.47,29.11,28.76,28.42,28.08,27.74,27.41,27.08,26.75,26.43,26.12,25.8
24,146.39,118.89,129.3,47.97,116.98,101.79,71.04,63.19,72.89,113.24,80.81,89.66,109.15,75.32,80.26,78.77,76.2,73.8,71.56,69.46,67.51,65.67,63.96,62.36,60.87,59.47,58.16,56.94,55.81,54.74,53.75,52.82,51.96,51.16,50.41,49.7,49.05,48.43,47.85,47.27,46.71,46.15,45.59,45.04,44.5,43.97,43.44,42.92,42.41,41.9,41.39,40.9,40.41,39.92,39.44,38.97,38.5,38.04,37.58,37.13,36.69,36.25,35.81,35.38,34.96,34.54,34.12,33.71,33.31,32.91,32.52,32.13,31.74,31.36,30.98,30.61,30.24,29.88,29.52,29.17,28.82,28.47,28.13,27.79,27.46,27.13,26.8,26.48
25,102.17,50.07,120.25,127.33,118.08,111.45,111.36,105.42,73.21,129.81,89.19,65.56,151.31,79.34,78.01,75.6,73.34,71.23,69.24,67.38,65.64,64.01,62.48,61.04,59.69,58.43,57.25,56.14,55.11,54.14,53.23,52.38,51.58,50.84,50.14,49.48,48.86,48.27,47.69,47.12,46.55,46.0,45.44,44.9,44.36,43.83,43.3,42.78,42.27,41.76,41.26,40.77,40.28,39.79,39.32,38.84,38.38,37.92,37.46,37.01,36.57,36.13,35.7,35.27,34.85,34.43,34.01,33.61,33.2,32.8,32.41,32.02,31.64,31.26,30.88,30.51,30.15,29.78,29.43,29.07,28.73,28.38,28.04,27.7,27.37,27.04,26.72,26.4
26,91.4,106.95,136.7,64.25,95.96,120.23,96.85,121.73,73.09,81.08,113.63,81.71,78.33,77.14,74.88,72.75,70.76,68.88,67.11,65.45,63.89,62.43,61.05,59.75,58.53,57.39,56.31,55.3,54.36,53.46,52.63,51.84,51.1,50.41,49.75,49.13,48.54,47.96,47.38,46.81,46.25,45.7,45.15,44.61,44.07,43.54,43.02,42.5,41.99,41.49,40.99,40.5,40.01,39.53,39.06,38.59,38.13,37.67,37.22,36.77,36.33,35.89,35.46,35.04,34.62,34.2,33.79,33.39,32.99,32.59,32.2,31.81,31.43,31.05,30.68,30.31,29.95,29.59,29.24,28.88,28.54,28.2,27.86,27.52,27.19,26.87,26.54,26.23
27,122.68,131.26,32.58,163.0,72.14,56.88,105.01,137.53,56.73,88.98,72.71,80.77,79.67,77.43,75.33,73.35,71.48,69.72,68.06,66.5,65.03,63.64,62.34,61.11,59.95,58.85,57.82,56.85,55.94,55.08,54.27,53.51,52.79,52.1,51.46,50.83,50.22,49.62,49.03,48.44,47.86,47.28,46.72,46.15,45.6,45.05,44.51,43.98,43.45,42.93,42.41,41.91,41.4,40.91,40.42,39.93,39.45,38.98,38.51,38.05,37.59,37.14,36.7,36.25,35.82,35.39,34.97,34.55,34.13,33.72,33.32,32.92,32.52,32.13,31.75,31.37,30.99,30.62,30.25,29.89,29.53,29.17,28.82,28.48,28.14,27.8,27.47,27.14
28,72.93,98.49,123.95,98.39,32.53,73.19,72.62,96.92,137.52,136.78,84.04,83.01,80.8,78.71,76.74,74.88,73.12,71.46,69.89,68.41,67.0,65.68,64.43,63.24,62.12,61.07,60.07,59.13,58.23,57.39,56.59,55.84,55.12,54.44,53.78,53.14,52.5,51.87,51.25,50.63,50.02,49.42,48.83,48.25,47.67,47.09,46.53,45.97,45.42,44.87,44.34,43.8,43.28,42.76,42.25,41.74,41.24,40.74,40.25,39.77,39.29,38.82,38.36,37.9,37.44,36.99,36.55,36.11,35.68,35.25,34.83,34.41,34.0,33.59,33.18,32.79,32.39,32.0,31.62,31.24,30.87,30.5,30.13,29.77,29.41,29.06,28.71,28.37
29,105.33,157.1,99.95,107.59,81.61,89.0,64.39,128.97,121.1,87.63,86.68,84.49,82.41,80.44,78.58,76.82,75.14,73.56,72.06,70.64,69.29,68.01,66.8,65.66,64.57,63.54,62.56,61.64,60.76,59.92,59.13,58.38,57.66,56.96,56.28,55.6,54.93,54.28,53.62,52.98,52.35,51.72,51.1,50.48,49.88,49.28,48.69,48.1,47.53,46.96,46.39,45.84,45.29,44.74,44.21,43.68,43.15,42.63,42.12,41.62,41.12,40.62,40.14,39.66,39.18,38.71,38.25,37.79,37.33,36.89,36.44,36.01,35.57,35.15,34.72,34.31,33.9,33.49,33.09,32.69,32.3,31.91,31.53,31.15,30.78,30.41,30.04,29.68
