age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
66,877.67,867.19,856.83,846.59,836.47,826.48,816.6,806.84,797.2,787.68,778.26,768.96,759.77,750.69,741.71,732.85,724.08,715.43,706.87,698.42,690.07,681.82,673.67,665.61,657.65,649.78,642.01,634.33,626.75,619.25,611.84,604.52,597.29,590.14,583.08,576.11,569.21,562.4,555.67,549.03,542.46,535.96,529.55,523.21,516.95,510.76,504.65,498.61,492.64,486.75,480.92,475.16,469.47,463.85,458.3,452.81,447.39,442.04,436.74,431.51,426.35,421.24,416.2,411.21,406.29,401.42,396.62,391.87,387.17,382.54,377.96,373.43,368.96,364.54,360.17,355.86,351.6,347.39,343.23,339.11,335.05,331.04,327.08,323.16,319.29,315.46,311.69,307.95
67,948.1,936.77,925.59,914.53,903.61,892.82,882.15,871.61,861.2,850.91,840.74,830.7,820.77,810.96,801.27,791.7,782.24,772.89,763.65,754.52,745.5,736.59,727.78,719.08,710.48,701.99,693.6,685.3,677.11,669.01,661.01,653.1,645.29,637.58,629.95,622.41,614.97,607.61,600.34,593.16,586.07,579.05,572.13,565.28,558.52,551.83,545.23,538.71,532.26,525.89,519.6,513.38,507.23,501.16,495.16,489.24,483.38,477.59,471.88,466.23,460.65,455.13,449.68,444.3,438.98,433.72,428.53,423.4,418.33,413.32,408.37,403.48,398.65,393.88,389.16,384.5,379.89,375.35,370.85,366.41,362.02,357.69,353.4,349.17,344.99,340.86,336.78,332.75
68,1026.38,1014.13,1002.03,990.06,978.24,966.56,955.02,943.62,932.35,921.21,910.21,899.34,888.6,877.98,867.49,857.13,846.89,836.77,826.77,816.89,807.13,797.48,787.95,778.54,769.23,760.04,750.95,741.98,733.11,724.34,715.68,707.12,698.67,690.32,682.06,673.9,665.85,657.88,650.01,642.24,634.56,626.97,619.47,612.06,604.74,597.5,590.35,583.29,576.31,569.42,562.6,555.87,549.22,542.65,536.16,529.74,523.4,517.14,510.95,504.83,498.79,492.82,486.92,481.09,475.33,469.64,464.02,458.46,452.98,447.55,442.19,436.9,431.67,426.5,421.4,416.35,411.37,406.44,401.58,396.77,392.02,387.32,382.69,378.11,373.58,369.11,364.69,360.32
69,1113.06,1099.78,1086.66,1073.69,1060.88,1048.21,1035.7,1023.34,1011.12,999.05,987.13,975.34,963.7,952.19,940.82,929.58,918.48,907.51,896.67,885.96,875.38,864.92,854.59,844.38,834.29,824.32,814.47,804.73,795.12,785.62,776.23,766.95,757.78,748.72,739.77,730.93,722.19,713.56,705.02,696.59,688.27,680.04,671.9,663.87,655.93,648.08,640.33,632.67,625.11,617.63,610.24,602.94,595.73,588.6,581.56,574.6,567.73,560.93,554.22,547.59,541.04,534.56,528.16,521.84,515.6,509.43,503.33,497.31,491.35,485.47,479.66,473.92,468.25,462.64,457.11,451.63,446.23,440.89,435.61,430.4,425.25,420.16,415.13,410.16,405.25,400.4,395.61,390.87
70,1210.32,1195.89,1181.62,1167.53,1153.6,1139.84,1126.24,1112.81,1099.53,1086.41,1073.44,1060.63,1047.97,1035.47,1023.11,1010.89,998.83,986.9,975.12,963.47,951.97,940.6,929.37,918.27,907.3,896.47,885.76,875.18,864.72,854.39,844.18,834.1,824.13,814.28,804.55,794.94,785.44,776.05,766.77,757.61,748.55,739.6,730.76,722.02,713.39,704.86,696.44,688.11,679.88,671.75,663.72,655.78,647.94,640.19,632.53,624.96,617.49,610.1,602.8,595.59,588.47,581.43,574.47,567.6,560.8,554.09,547.46,540.91,534.44,528.04,521.73,515.48,509.31,503.22,497.2,491.25,485.37,479.56,473.82,468.15,462.55,457.02,451.55,446.15,440.81,435.53,430.32,425.17
71,1319.08,1303.36,1287.82,1272.47,1257.3,1242.31,1227.5,1212.86,1198.4,1184.11,1169.98,1156.03,1142.24,1128.61,1115.14,1101.84,1088.69,1075.7,1062.86,1050.18,1037.64,1025.26,1013.02,1000.93,988.98,977.17,965.5,953.97,942.58,931.32,920.2,909.21,898.35,887.62,877.02,866.54,856.19,845.96,835.85,825.86,816.0,806.24,796.61,787.09,777.68,768.39,759.2,750.13,741.16,732.3,723.55,714.9,706.35,697.9,689.56,681.31,673.16,665.11,657.16,649.3,641.53,633.86,626.28,618.79,611.39,604.07,596.85,589.71,582.65,575.68,568.8,561.99,555.27,548.63,542.06,535.58,529.17,522.84,516.59,510.41,504.3,498.27,492.31,486.42,480.6,474.85,469.17,463.56
72,1442.82,1425.63,1408.65,1391.87,1375.29,1358.9,1342.71,1326.7,1310.89,1295.27,1279.83,1264.57,1249.49,1234.59,1219.87,1205.33,1190.95,1176.75,1162.71,1148.84,1135.14,1121.59,1108.21,1094.99,1081.92,1069.01,1056.25,1043.65,1031.19,1018.88,1006.72,994.7,982.82,971.09,959.49,948.04,936.71,925.53,914.47,903.55,892.76,882.09,871.56,861.14,850.86,840.69,830.65,820.72,810.91,801.22,791.65,782.19,772.84,763.6,754.47,745.45,736.54,727.74,719.04,710.44,701.95,693.55,685.26,677.06,668.97,660.97,653.06,645.25,637.54,629.91,622.38,614.94,607.58,600.32,593.14,586.05,579.04,572.11,565.27,558.51,551.83,545.23,538.71,532.27,525.91,519.62,513.4,507.26
73,1582.21,1563.38,1544.77,1526.38,1508.21,1490.25,1472.5,1454.96,1437.63,1420.51,1403.59,1386.86,1370.34,1354.01,1337.88,1321.93,1306.17,1290.61,1275.22,1260.02,1244.99,1230.15,1215.48,1200.99,1186.66,1172.51,1158.52,1144.7,1131.05,1117.55,1104.22,1091.04,1078.02,1065.16,1052.45,1039.88,1027.47,1015.21,1003.09,991.11,979.28,967.59,956.03,944.62,933.34,922.19,911.17,900.29,889.54,878.91,868.41,858.04,847.79,837.66,827.65,817.76,807.99,798.33,788.79,779.36,770.05,760.84,751.75,742.76,733.88,725.11,716.44,707.88,699.41,691.05,682.79,674.63,666.57,658.6,650.73,642.95,635.26,627.67,620.16,612.75,605.43,598.19,591.04,583.97,576.99,570.09,563.28,556.55
74,1738.86,1718.17,1697.74,1677.54,1657.58,1637.86,1618.37,1599.11,1580.08,1561.27,1542.69,1524.32,1506.17,1488.23,1470.51,1453.0,1435.69,1418.59,1401.69,1384.99,1368.49,1352.18,1336.07,1320.14,1304.41,1288.86,1273.5,1258.31,1243.31,1228.48,1213.84,1199.36,1185.06,1170.92,1156.95,1143.15,1129.51,1116.04,1102.72,1089.56,1076.56,1063.71,1051.02,1038.47,1026.08,1013.83,1001.73,989.77,977.95,966.27,954.74,943.33,932.07,920.94,909.94,899.07,888.33,877.72,867.23,856.87,846.63,836.52,826.52,816.65,806.89,797.25,787.72,778.31,769.01,759.82,750.74,741.77,732.91,724.15,715.5,706.95,698.5,690.15,681.91,673.76,665.71,657.76,649.9,642.13,634.46,626.88,619.39,611.99
75,1916.12,1893.36,1870.85,1848.62,1826.64,1804.93,1783.47,1762.26,1741.31,1720.6,1700.13,1679.91,1659.92,1640.17,1620.65,1601.36,1582.31,1563.47,1544.86,1526.47,1508.29,1490.33,1472.58,1455.04,1437.71,1420.59,1403.66,1386.94,1370.42,1354.09,1337.95,1322.0,1306.25,1290.67,1275.29,1260.08,1245.06,1230.21,1215.54,1201.05,1186.72,1172.57,1158.58,1144.76,1131.1,1117.61,1104.27,1091.1,1078.08,1065.21,1052.5,1039.94,1027.52,1015.26,1003.14,991.16,979.33,967.63,956.08,944.66,933.38,922.23,911.22,900.34,889.58,878.96,868.46,858.09,847.84,837.72,827.71,817.83,808.06,798.41,788.87,779.45,770.14,760.94,751.86,742.88,734.0,725.24,716.58,708.02,699.56,691.21,682.95,674.8
76,2112.12,2087.04,2062.27,2037.78,2013.58,1989.67,1966.03,1942.68,1919.59,1896.79,1874.24,1851.97,1829.95,1808.2,1786.7,1765.46,1744.46,1723.71,1703.21,1682.95,1662.93,1643.14,1623.59,1604.27,1585.17,1566.3,1547.66,1529.23,1511.02,1493.03,1475.25,1457.68,1440.32,1423.16,1406.21,1389.45,1372.9,1356.54,1340.37,1324.4,1308.61,1293.01,1277.6,1262.37,1247.32,1232.44,1217.75,1203.22,1188.87,1174.69,1160.68,1146.84,1133.15,1119.63,1106.28,1093.07,1080.03,1067.14,1054.41,1041.82,1029.38,1017.1,1004.96,992.96,981.11,969.4,957.83,946.39,935.1,923.94,912.91,902.01,891.24,880.61,870.09,859.71,849.45,839.31,829.29,819.39,809.61,799.95,790.4,780.96,771.64,762.43,753.33,744.34
77,2329.37,2301.75,2274.45,2247.47,2220.81,2194.46,2168.42,2142.69,2117.26,2092.12,2067.29,2042.74,2018.48,1994.51,1970.82,1947.41,1924.27,1901.4,1878.81,1856.48,1834.41,1812.6,1791.05,1769.76,1748.71,1727.91,1707.36,1687.05,1666.98,1647.14,1627.54,1608.18,1589.03,1570.12,1551.43,1532.96,1514.71,1496.67,1478.85,1461.23,1443.83,1426.63,1409.64,1392.84,1376.25,1359.85,1343.64,1327.63,1311.8,1296.17,1280.71,1265.45,1250.36,1235.45,1220.72,1206.16,1191.77,1177.56,1163.51,1149.63,1135.92,1122.37,1108.98,1095.75,1082.68,1069.76,1057.0,1044.39,1031.93,1019.62,1007.46,995.44,983.57,971.84,960.24,948.79,937.47,926.29,915.24,904.32,893.53,882.87,872.34,861.93,851.65,841.49,831.45,821.54
78,2570.27,2539.83,2509.75,2480.02,2450.64,2421.59,2392.89,2364.53,2336.5,2308.79,2281.41,2254.35,2227.61,2201.18,2175.07,2149.25,2123.74,2098.54,2073.62,2049.0,2024.67,2000.62,1976.86,1953.38,1930.17,1907.23,1884.57,1862.17,1840.04,1818.16,1796.55,1775.18,1754.07,1733.21,1712.6,1692.23,1672.09,1652.2,1632.54,1613.11,1593.91,1574.94,1556.19,1537.67,1519.36,1501.27,1483.39,1465.72,1448.26,1431.01,1413.96,1397.12,1380.47,1364.02,1347.77,1331.71,1315.83,1300.15,1284.65,1269.34,1254.2,1239.25,1224.48,1209.88,1195.46,1181.21,1167.13,1153.22,1139.47,1125.88,1112.46,1099.2,1086.1,1073.15,1060.36,1047.72,1035.23,1022.89,1010.69,998.65,986.74,974.98,963.36,951.87,940.52,929.31,918.23,907.29
79,2840.66,2807.07,2773.87,2741.05,2708.62,2676.56,2644.88,2613.57,2582.63,2552.04,2521.82,2491.94,2462.42,2433.24,2404.4,2375.9,2347.74,2319.9,2292.39,2265.2,2238.33,2211.78,2185.54,2159.6,2133.97,2108.64,2083.61,2058.87,2034.42,2010.26,1986.38,1962.79,1939.47,1916.42,1893.65,1871.15,1848.91,1826.93,1805.21,1783.74,1762.53,1741.57,1720.86,1700.39,1680.16,1660.17,1640.42,1620.89,1601.6,1582.54,1563.7,1545.09,1526.69,1508.51,1490.55,1472.8,1455.26,1437.92,1420.79,1403.87,1387.15,1370.63,1354.3,1338.17,1322.23,1306.48,1290.92,1275.54,1260.35,1245.33,1230.5,1215.84,1201.36,1187.05,1172.91,1158.94,1145.14,1131.5,1118.02,1104.7,1091.54,1078.54,1065.69,1053.0,1040.46,1028.06,1015.82,1003.72
80,3147.07,3109.91,3073.18,3036.88,3001.0,2965.54,2930.49,2895.85,2861.61,2827.77,2794.33,2761.27,2728.6,2696.32,2664.4,2632.87,2601.69,2570.89,2540.44,2510.35,2480.61,2451.22,2422.17,2393.46,2365.09,2337.05,2309.34,2281.95,2254.88,2228.14,2201.7,2175.58,2149.76,2124.24,2099.03,2074.11,2049.48,2025.14,2001.09,1977.32,1953.83,1930.62,1907.68,1885.01,1862.6,1840.46,1818.58,1796.96,1775.59,1754.48,1733.61,1712.99,1692.62,1672.48,1652.58,1632.91,1613.48,1594.28,1575.31,1556.56,1538.04,1519.73,1501.65,1483.78,1466.12,1448.67,1431.43,1414.39,1397.56,1380.93,1364.5,1348.26,1332.21,1316.36,1300.69,1285.21,1269.92,1254.81,1239.87,1225.12,1210.54,1196.13,1181.9,1167.83,1153.93,1140.2,1126.63,1113.22
81,3502.43,3461.15,3420.35,3380.02,3340.16,3300.76,3261.82,3223.32,3185.28,3147.67,3110.51,3073.77,3037.46,3001.58,2966.11,2931.05,2896.4,2862.16,2828.31,2794.86,2761.8,2729.12,2696.82,2664.91,2633.36,2602.18,2571.37,2540.91,2510.82,2481.07,2451.67,2422.62,2393.9,2365.53,2337.48,2309.76,2282.37,2255.3,2228.55,2202.1,2175.97,2150.15,2124.63,2099.41,2074.48,2049.85,2025.51,2001.45,1977.68,1954.18,1930.97,1908.02,1885.35,1862.94,1840.79,1818.91,1797.29,1775.92,1754.81,1733.95,1713.33,1692.96,1672.84,1652.95,1633.3,1613.88,1594.7,1575.74,1557.01,1538.5,1520.21,1502.13,1484.28,1466.63,1449.2,1431.97,1414.94,1398.12,1381.5,1365.08,1348.85,1332.82,1316.97,1301.31,1285.84,1270.56,1255.45,1240.53
82,3912.66,3866.64,3821.15,3776.19,3731.75,3687.82,3644.39,3601.47,3559.04,3517.11,3475.66,3434.69,3394.19,3354.16,3314.6,3275.49,3236.84,3198.63,3160.87,3123.55,3086.66,3050.2,3014.17,2978.55,2943.35,2908.56,2874.17,2840.18,2806.59,2773.39,2740.58,2708.15,2676.1,2644.42,2613.11,2582.17,2551.59,2521.36,2491.49,2461.97,2432.8,2403.96,2375.47,2347.3,2319.47,2291.96,2264.78,2237.91,2211.36,2185.12,2159.19,2133.56,2108.24,2083.21,2058.47,2034.03,2009.88,1986.02,1962.44,1939.13,1916.11,1893.36,1870.88,1848.66,1826.71,1805.02,1783.59,1762.41,1741.49,1720.81,1700.38,1680.19,1660.24,1640.53,1621.05,1601.8,1582.78,1563.99,1545.42,1527.07,1508.94,1491.02,1473.31,1455.82,1438.54,1421.45,1404.58,1387.9
83,4380.3,4328.91,4278.11,4227.89,4178.25,4129.17,4080.66,4032.71,3985.31,3938.46,3892.14,3846.36,3801.1,3756.37,3712.16,3668.45,3625.25,3582.55,3540.34,3498.62,3457.38,3416.62,3376.33,3336.51,3297.15,3258.24,3219.79,3181.78,3144.22,3107.09,3070.39,3034.12,2998.27,2962.83,2927.81,2893.2,2858.99,2825.18,2791.76,2758.73,2726.09,2693.83,2661.94,2630.43,2599.29,2568.51,2538.08,2508.02,2478.3,2448.94,2419.91,2391.23,2362.88,2334.87,2307.18,2279.83,2252.79,2226.08,2199.69,2173.61,2147.84,2122.37,2097.21,2072.34,2047.77,2023.49,1999.5,1975.79,1952.36,1929.22,1906.34,1883.74,1861.4,1839.33,1817.52,1795.98,1774.68,1753.64,1732.85,1712.3,1692.0,1671.94,1652.11,1632.52,1613.17,1594.04,1575.14,1556.47
84,4909.01,4851.58,4794.8,4738.67,4683.17,4628.31,4574.08,4520.47,4467.47,4415.08,4363.29,4312.09,4261.48,4211.45,4162.0,4113.11,4064.78,4017.01,3969.79,3923.11,3876.97,3831.37,3786.28,3741.72,3697.67,3654.13,3611.1,3568.56,3526.51,3484.95,3443.87,3403.26,3363.13,3323.46,3284.25,3245.49,3207.18,3169.32,3131.9,3094.91,3058.36,3022.23,2986.51,2951.22,2916.33,2881.85,2847.77,2814.09,2780.8,2747.9,2715.39,2683.25,2651.49,2620.1,2589.09,2558.44,2528.15,2498.23,2468.65,2439.43,2410.56,2382.02,2353.83,2325.96,2298.43,2271.22,2244.34,2217.77,2191.52,2165.58,2139.94,2114.61,2089.58,2064.85,2040.4,2016.25,1992.38,1968.8,1945.49,1922.46,1899.71,1877.22,1855.0,1833.04,1811.34,1789.9,1768.71,1747.78
85,5502.96,5438.78,5375.32,5312.59,5250.56,5189.24,5128.62,5068.68,5009.43,4950.85,4892.93,4835.68,4779.08,4723.12,4667.81,4613.12,4559.06,4505.62,4452.79,4400.57,4348.94,4297.91,4247.46,4197.59,4148.29,4099.56,4051.39,4003.77,3956.7,3910.17,3864.18,3818.72,3773.78,3729.36,3685.46,3642.06,3599.16,3556.76,3514.84,3473.42,3432.47,3392.0,3351.99,3312.45,3273.37,3234.74,3196.55,3158.82,3121.52,3084.65,3048.21,3012.2,2976.61,2941.44,2906.68,2872.34,2838.4,2804.87,2771.73,2738.98,2706.62,2674.64,2643.04,2611.81,2580.95,2550.46,2520.33,2490.55,2461.12,2432.04,2403.31,2374.91,2346.85,2319.13,2291.72,2264.65,2237.89,2211.45,2185.32,2159.5,2133.99,2108.77,2083.86,2059.24,2034.91,2010.87,1987.11,1963.63
86,6161.74,6090.12,6019.31,5949.3,5880.08,5811.63,5743.96,5677.05,5610.9,5545.49,5480.83,5416.89,5353.68,5291.19,5229.41,5168.32,5107.94,5048.23,4989.21,4930.86,4873.17,4816.14,4759.76,4704.03,4648.93,4594.46,4540.61,4487.38,4434.76,4382.74,4331.31,4280.48,4230.23,4180.56,4131.45,4082.91,4034.93,3987.5,3940.62,3894.28,3848.47,3803.19,3758.43,3714.18,3670.45,3627.23,3584.5,3542.26,3500.52,3459.26,3418.47,3378.17,3338.34,3298.98,3260.08,3221.65,3183.66,3146.13,3109.04,3072.38,3036.16,3000.36,2964.99,2930.03,2895.48,2861.35,2827.61,2794.27,2761.33,2728.77,2696.6,2664.81,2633.39,2602.34,2571.66,2541.34,2511.38,2481.77,2452.51,2423.59,2395.02,2366.78,2338.88,2311.3,2284.05,2257.12,2230.51,2204.21
87,6886.2,6806.47,6727.64,6649.68,6572.6,6496.38,6421.01,6346.48,6272.79,6199.92,6127.88,6056.64,5986.21,5916.57,5847.71,5779.63,5712.31,5645.76,5579.96,5514.9,5450.58,5386.99,5324.11,5261.95,5200.5,5139.74,5079.68,5020.3,4961.59,4903.55,4846.17,4789.45,4733.37,4677.94,4623.13,4568.96,4515.4,4462.46,4410.12,4358.38,4307.24,4256.68,4206.7,4157.29,4108.46,4060.18,4012.46,3965.29,3918.66,3872.57,3827.02,3782.01,3737.52,3693.56,3650.12,3607.19,3564.76,3522.83,3481.39,3440.45,3399.98,3359.99,3320.47,3281.41,3242.82,3204.67,3166.98,3129.73,3092.92,3056.54,3020.59,2985.06,2949.95,2915.25,2880.96,2847.08,2813.59,2780.5,2747.79,2715.47,2683.53,2651.97,2620.78,2589.95,2559.49,2529.38,2499.63,2470.23
88,7684.6,7596.02,7508.41,7421.77,7336.09,7251.37,7167.58,7084.72,7002.78,6921.76,6841.63,6762.4,6684.06,6606.59,6529.98,6454.23,6379.33,6305.27,6232.04,6159.63,6088.03,6017.24,5947.25,5878.04,5809.62,5741.96,5675.07,5608.94,5543.55,5478.9,5414.99,5351.8,5289.32,5227.55,5166.49,5106.12,5046.43,4987.43,4929.09,4871.42,4814.41,4758.05,4702.33,4647.25,4592.79,4538.96,4485.75,4433.14,4381.14,4329.74,4278.95,4228.76,4179.15,4130.13,4081.68,4033.8,3986.48,3939.72,3893.5,3847.83,3802.69,3758.09,3714.0,3670.43,3627.38,3584.83,3542.77,3501.22,3460.14,3419.55,3379.44,3339.8,3300.62,3261.9,3223.64,3185.82,3148.45,3111.52,3075.02,3038.95,3003.3,2968.07,2933.25,2898.84,2864.84,2831.23,2798.02,2765.2
89,8566.0,8467.73,8370.53,8274.4,8179.32,8085.28,7992.28,7900.3,7809.33,7719.37,7630.4,7542.41,7455.39,7369.34,7284.24,7200.08,7116.86,7034.56,6953.18,6872.7,6793.12,6714.43,6636.62,6559.67,6483.59,6408.36,6333.97,6260.41,6187.68,6115.77,6044.66,5974.36,5904.85,5836.12,5768.16,5700.97,5634.54,5568.86,5503.93,5439.73,5376.25,5313.5,5251.46,5190.12,5129.48,5069.52,5010.25,4951.66,4893.75,4836.51,4779.95,4724.05,4668.8,4614.2,4560.23,4506.9,4454.19,4402.1,4350.62,4299.73,4249.45,4199.75,4150.63,4102.09,4054.12,4006.7,3959.84,3913.53,3867.76,3822.53,3777.82,3733.64,3689.98,3646.82,3604.17,3562.02,3520.36,3479.19,3438.5,3398.29,3358.54,3319.26,3280.44,3242.08,3204.16,3166.69,3129.65,3093.05
90,9540.73,9431.87,9324.18,9217.65,9112.28,9008.06,8904.96,8802.99,8702.13,8602.37,8503.69,8406.1,8309.57,8214.1,8119.68,8026.3,7933.94,7842.6,7752.26,7662.92,7574.57,7487.19,7400.79,7315.33,7230.83,7147.26,7064.62,6982.9,6902.09,6822.18,6743.16,6665.02,6587.76,6511.36,6435.81,6361.11,6287.25,6214.22,6142.0,6070.6,6000.0,5930.2,5861.18,5792.94,5725.47,5658.76,5592.81,5527.62,5463.2,5399.52,5336.59,5274.39,5212.91,5152.15,5092.11,5032.76,4974.1,4916.12,4858.82,4802.19,4746.22,4690.9,4636.23,4582.19,4528.79,4476.0,4423.83,4372.27,4321.31,4270.94,4221.17,4171.97,4123.34,4075.28,4027.78,3980.84,3934.44,3888.58,3843.26,3798.47,3754.19,3710.44,3667.19,3624.45,3582.21,3540.45,3499.19,3458.41
91,10796.01,10679.81,10564.78,10450.91,10338.2,10226.63,10116.19,10006.88,9898.69,9791.6,9685.6,9580.69,9476.86,9374.09,9272.37,9171.71,9072.08,8973.47,8875.89,8779.31,8683.74,8589.15,8495.55,8402.92,8311.25,8220.53,8130.76,8041.93,7954.02,7867.04,7780.96,7695.79,7611.51,7528.11,7445.59,7363.94,7283.14,7203.2,7124.1,7045.84,6968.4,6891.78,6815.98,6740.97,6666.77,6593.34,6520.73,6448.92,6377.9,6307.66,6238.19,6169.49,6101.55,6034.35,5967.89,5902.17,5837.17,5772.88,5709.31,5646.43,5584.25,5522.75,5461.93,5401.77,5342.28,5283.45,5225.26,5167.72,5110.8,5054.52,4998.85,4943.8,4889.36,4835.51,4782.26,4729.59,4677.5,4625.99,4575.04,4524.66,4474.83,4425.55,4376.81,4328.61,4280.94,4233.79,4187.16,4141.05
92,12202.58,12079.14,11956.87,11835.75,11715.78,11596.93,11479.22,11362.62,11247.12,11132.73,11019.42,10907.2,10796.04,10685.95,10576.91,10468.92,10361.97,10256.05,10151.14,10047.25,9944.36,9842.46,9741.55,9641.62,9542.66,9444.66,9347.61,9251.51,9156.34,9062.11,8968.79,8876.39,8784.89,8694.29,8604.58,8515.75,8427.8,8340.71,8254.48,8169.1,8084.56,8000.86,7917.99,7835.94,7754.7,7674.31,7594.75,7516.01,7438.09,7360.98,7284.66,7209.14,7134.4,7060.44,6987.24,6914.8,6843.12,6772.17,6701.96,6632.48,6563.72,6495.68,6428.33,6361.69,6295.74,6230.47,6165.87,6101.95,6038.69,5976.09,5914.13,5852.82,5792.14,5732.09,5672.67,5613.86,5555.66,5498.06,5441.06,5384.65,5328.83,5273.58,5218.91,5164.8,5111.26,5058.27,5005.83,4953.93
93,13762.33,13632.06,13502.92,13374.9,13248.01,13122.22,12997.53,12873.94,12751.44,12630.02,12509.66,12390.37,12272.14,12154.95,12038.8,11923.68,11809.59,11696.52,11584.46,11473.4,11363.33,11254.25,11146.15,11039.02,10932.86,10827.65,10723.39,10620.08,10517.7,10416.25,10315.72,10216.1,10117.39,10019.58,9922.66,9826.63,9731.47,9637.19,9543.77,9451.21,9359.49,9268.62,9178.59,9089.39,9001.05,8913.57,8826.94,8741.16,8656.21,8572.08,8488.77,8406.27,8324.57,8243.67,8163.55,8084.21,8005.65,7927.84,7850.79,7774.5,7698.94,7624.11,7550.02,7476.64,7403.98,7332.02,7260.77,7190.2,7120.32,7051.12,6982.6,6914.73,6847.53,6780.98,6715.08,6649.82,6585.19,6521.19,6457.82,6395.06,6332.9,6271.36,6210.41,6150.05,6090.28,6031.09,5972.48,5914.43
94,15486.09,15349.54,15214.08,15079.71,14946.42,14814.2,14683.04,14552.94,14423.9,14295.9,14168.94,14043.01,13918.11,13794.22,13671.35,13549.49,13428.62,13308.75,13189.86,13071.95,12955.02,12839.05,12724.04,12609.99,12496.88,12384.71,12273.48,12163.17,12053.79,11945.32,11837.76,11731.1,11625.34,11520.47,11416.48,11313.37,11211.13,11109.75,11009.23,10909.57,10810.75,10712.77,10615.62,10519.35,10423.96,10329.44,10235.77,10142.95,10050.97,9959.82,9869.5,9780.0,9691.32,9603.43,9516.35,9430.05,9344.54,9259.8,9175.83,9092.62,9010.17,8928.46,8847.49,8767.26,8687.76,8608.98,8530.91,8453.55,8376.89,8300.93,8225.65,8151.06,8077.14,8003.9,7931.32,7859.39,7788.12,7717.5,7647.51,7578.16,7509.44,7441.35,7373.87,7307.0,7240.74,7175.07,7110.01,7045.53
95,17360.51,17218.65,17077.82,16938.02,16799.24,16661.48,16524.74,16389.0,16254.27,16120.53,15987.79,15856.03,15725.25,15595.45,15466.61,15338.74,15211.83,15085.88,14960.87,14836.8,14713.67,14591.48,14470.2,14349.85,14230.42,14111.89,13994.27,13877.54,13761.71,13646.77,13532.71,13419.53,13307.22,13195.77,13085.19,12975.46,12866.58,12758.55,12651.35,12544.99,12439.46,12334.75,12230.93,12127.98,12025.89,11924.66,11824.29,11724.76,11626.07,11528.2,11431.17,11334.95,11239.53,11144.93,11051.11,10958.09,10865.85,10774.39,10683.7,10593.77,10504.6,10416.18,10328.5,10241.56,10155.35,10069.87,9985.11,9901.06,9817.72,9735.08,9653.13,9571.88,9491.31,9411.42,9332.2,9253.64,9175.75,9098.52,9021.93,8945.99,8870.69,8796.02,8721.98,8648.56,8575.76,8503.58,8432.0,8361.02
96,19374.78,19228.88,19083.94,18939.96,18796.94,18654.86,18513.74,18373.55,18234.31,18095.99,17958.61,17822.15,17686.61,17551.99,17418.29,17285.49,17153.59,17022.59,16892.49,16763.27,16634.95,16507.5,16380.93,16255.24,16130.41,16006.45,15883.34,15761.09,15639.7,15519.14,15399.43,15280.56,15162.52,15045.3,14928.91,14813.35,14698.59,14584.65,14471.51,14359.17,14247.63,14136.96,14027.15,13918.19,13810.07,13702.8,13596.36,13490.74,13385.95,13281.97,13178.8,13076.43,12974.85,12874.07,12774.06,12674.84,12576.38,12478.69,12381.76,12285.58,12190.14,12095.45,12001.5,11908.27,11815.77,11723.99,11632.92,11542.56,11452.9,11363.93,11275.66,11188.07,11101.17,11014.93,10929.37,10844.47,10760.24,10676.65,10593.72,10511.43,10429.78,10348.76,10268.37,10188.61,10109.47,10030.94,9953.02,9875.71
97,21694.43,21545.01,21396.47,21248.8,21102.02,20956.11,20811.06,20666.89,20523.57,20381.12,20239.53,20098.79,19958.9,19819.86,19681.66,19544.31,19407.79,19272.11,19137.26,19003.23,18870.04,18737.66,18606.1,18475.36,18345.42,18216.3,18087.98,17960.46,17833.74,17707.81,17582.67,17458.32,17334.75,17211.97,17089.96,16968.72,16848.25,16728.55,16609.61,16491.43,16374.09,16257.59,16141.91,16027.06,15913.02,15799.8,15687.38,15575.76,15464.94,15354.9,15245.65,15137.18,15029.47,14922.54,14816.36,14710.94,14606.27,14502.34,14399.16,14296.7,14194.98,14093.98,13993.7,13894.13,13795.27,13697.12,13599.66,13502.9,13406.82,13311.43,13216.72,13122.68,13029.31,12936.6,12844.56,12753.17,12662.42,12572.33,12482.88,12394.06,12305.87,12218.31,12131.38,12045.06,11959.36,11874.27,11789.78,11705.89
