age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
20,59.36,45.68,27.98,43.19,43.85,37.47,22.82,36.64,26.25,42.57,24.15,21.39,27.71,25.48,17.52,32.29,26.53,12.05,38.38,20.5,36.27,27.02,29.82,28.0,24.68,23.68,23.3,22.97,22.68,22.42,22.19,21.99,21.81,21.64,21.48,21.32,21.16,21.01,20.84,20.67,20.49,20.31,20.11,19.9,19.68,19.47,19.25,19.04,18.83,18.63,18.42,18.22,18.02,17.83,17.63,17.44,17.25,17.06,16.87,16.69,16.5,16.32,16.15,15.97,15.79,15.62,15.45,15.28,15.11,14.95,14.79,14.62,14.46,14.31,14.15,13.99,13.84,13.69,13.54,13.39,13.25,13.1,12.96,12.82,12.68,12.54,12.4,12.26,12.13,12.0,11.87,11.74,11.61,11.48
21,38.08,38.84,30.37,53.65,34.37,17.24,42.71,47.99,19.77,35.58,2.65,15.96,35.75,27.8,34.44,20.35,26.38,26.74,43.64,26.15,38.05,29.23,14.67,22.0,24.49,24.09,23.73,23.41,23.12,22.87,22.65,22.45,22.26,22.08,21.92,21.75,21.59,21.42,21.24,21.06,20.87,20.67,20.47,20.25,20.03,19.81,19.59,19.38,19.17,18.96,18.75,18.55,18.34,18.14,17.94,17.75,17.55,17.36,17.17,16.98,16.8,16.61,16.43,16.25,16.07,15.9,15.72,15.55,15.38,15.21,15.05,14.88,14.72,14.56,14.4,14.24,14.09,13.93,13.78,13.63,13.48,13.33,13.19,13.04,12.9,12.76,12.62,12.48,12.34,12.21,12.08,11.94,11.81,11.68
22,43.88,38.58,32.69,32.75,40.24,42.79,36.64,38.61,13.69,46.38,13.32,21.33,21.82,16.6,31.65,26.17,29.21,50.26,26.2,19.74,19.67,34.41,27.58,25.38,24.96,24.58,24.23,23.91,23.64,23.39,23.16,22.96,22.77,22.59,22.41,22.23,22.06,21.88,21.69,21.49,21.29,21.08,20.87,20.65,20.42,20.2,19.98,19.76,19.54,19.33,19.12,18.91,18.7,18.5,18.29,18.09,17.9,17.7,17.51,17.31,17.13,16.94,16.75,16.57,16.39,16.21,16.03,15.86,15.68,15.51,15.34,15.17,15.01,14.84,14.68,14.52,14.36,14.2,14.05,13.9,13.74,13.59,13.44,13.3,13.15,13.01,12.87,12.73,12.59,12.45,12.31,12.18,12.04,11.91
23,38.39,26.51,26.8,32.54,25.85,39.77,33.52,40.7,38.31,19.23,34.89,15.99,35.32,27.78,48.98,34.88,29.11,35.44,22.77,29.49,32.7,28.14,26.76,26.32,25.91,25.53,25.19,24.87,24.59,24.34,24.11,23.9,23.7,23.5,23.31,23.12,22.93,22.73,22.53,22.32,22.1,21.88,21.65,21.42,21.18,20.95,20.72,20.5,20.27,20.05,19.83,19.61,19.4,19.19,18.98,18.77,18.56,18.36,18.16,17.96,17.76,17.57,17.38,17.19,17.0,16.81,16.63,16.45,16.27,16.09,15.91,15.74,15.57,15.4,15.23,15.06,14.9,14.73,14.57,14.41,14.26,14.1,13.95,13.79,13.64,13.49,13.35,13.2,13.06,12.91,12.77,12.63,12.49,12.36
24,14.73,38.24,38.29,47.19,31.53,31.18,27.67,41.23,27.83,39.14,13.47,40.22,19.23,36.62,29.3,38.4,32.37,23.37,41.23,18.41,26.0,28.62,28.15,27.71,27.3,26.91,26.56,26.25,25.96,25.7,25.46,25.23,25.02,24.81,24.6,24.39,24.17,23.96,23.73,23.5,23.26,23.02,22.78,22.53,22.29,22.04,21.8,21.56,21.33,21.09,20.86,20.63,20.41,20.19,19.96,19.75,19.53,19.32,19.11,18.9,18.69,18.49,18.28,18.08,17.89,17.69,17.5,17.3,17.12,16.93,16.74,16.56,16.38,16.2,16.02,15.85,15.67,15.5,15.33,15.16,15.0,14.83,14.67,14.51,14.35,14.2,14.04,13.89,13.74,13.59,13.44,13.29,13.14,13.0
25,38.21,31.88,37.95,38.17,25.66,36.54,36.4,38.93,30.99,39.11,18.92,21.63,36.16,22.88,29.71,47.82,32.18,19.82,32.41,31.53,31.34,30.84,30.36,29.91,29.48,29.08,28.72,28.39,28.08,27.8,27.54,27.3,27.06,26.82,26.59,26.35,26.11,25.87,25.61,25.36,25.09,24.83,24.56,24.29,24.03,23.77,23.51,23.25,22.99,22.74,22.49,22.25,22.0,21.76,21.53,21.29,21.06,20.83,20.6,20.37,20.15,19.93,19.71,19.5,19.28,19.07,18.86,18.66,18.45,18.25,18.05,17.85,17.66,17.47,17.27,17.09,16.9,16.71,16.53,16.35,16.17,15.99,15.82,15.65,15.48,15.31,15.14,14.97,14.81,14.65,14.49,14.33,14.17,14.02
26,37.8,31.62,28.98,40.89,53.75,48.15,28.29,41.94,47.74,33.49,43.35,27.21,28.1,34.63,32.93,50.35,31.1,22.15,31.29,34.34,33.79,33.28,32.78,32.31,31.87,31.46,31.08,30.73,30.41,30.11,29.82,29.55,29.29,29.02,28.76,28.5,28.23,27.95,27.67,27.38,27.09,26.8,26.51,26.22,25.93,25.65,25.37,25.09,24.82,24.55,24.28,24.01,23.75,23.49,23.23,22.98,22.73,22.48,22.23,21.99,21.75,21.51,21.27,21.04,20.81,20.58,20.36,20.14,19.92,19.7,19.48,19.27,19.06,18.85,18.64,18.44,18.24,18.04,17.84,17.65,17.45,17.26,17.07,16.89,16.7,16.52,16.34,16.16,15.98,15.81,15.64,15.46,15.3,15.13
27,52.03,45.69,48.9,26.07,51.13,34.22,31.24,50.17,53.1,27.89,35.32,54.69,39.58,57.94,35.65,31.39,38.61,37.62,37.47,36.87,36.31,35.78,35.27,34.79,34.33,33.9,33.51,33.14,32.79,32.47,32.16,31.86,31.57,31.28,30.98,30.69,30.39,30.08,29.77,29.45,29.14,28.82,28.5,28.19,27.88,27.58,27.28,26.98,26.68,26.39,26.1,25.82,25.54,25.26,24.98,24.71,24.44,24.17,23.9,23.64,23.38,23.13,22.88,22.63,22.38,22.13,21.89,21.65,21.42,21.18,20.95,20.72,20.49,20.27,20.05,19.83,19.61,19.4,19.18,18.97,18.77,18.56,18.36,18.16,17.96,17.76,17.57,17.38,17.19,17.0,16.81,16.63,16.45,16.27
28,40.22,42.52,54.27,40.65,37.08,40.03,25.52,41.57,27.9,55.71,48.94,41.36,59.69,46.02,54.57,36.24,39.63,40.85,40.19,39.58,39.01,38.46,37.93,37.43,36.96,36.51,36.09,35.7,35.33,34.98,34.64,34.32,33.99,33.67,33.34,33.01,32.68,32.34,32.0,31.65,31.31,30.97,30.63,30.29,29.96,29.63,29.31,28.99,28.67,28.36,28.05,27.74,27.44,27.14,26.84,26.55,26.26,25.97,25.69,25.41,25.13,24.85,24.58,24.31,24.05,23.78,23.52,23.27,23.01,22.76,22.51,22.26,22.02,21.78,21.54,21.31,21.07,20.84,20.61,20.39,20.17,19.95,19.73,19.51,19.3,19.09,18.88,18.67,18.47,18.27,18.07,17.87,17.67,17.48
29,42.89,81.56,71.62,32.04,31.36,48.41,48.06,38.69,47.38,75.14,57.37,49.74,50.73,27.93,33.7,41.92,44.65,43.91,43.23,42.6,42.0,41.44,40.89,40.37,39.87,39.4,38.96,38.54,38.14,37.76,37.4,37.04,36.68,36.32,35.96,35.59,35.22,34.85,34.47,34.1,33.72,33.35,32.99,32.63,32.27,31.92,31.57,31.22,30.88,30.55,30.21,29.88,29.55,29.23,28.91,28.59,28.28,27.97,27.67,27.36,27.06,26.77,26.48,26.19,25.9,25.62,25.34,25.06,24.78,24.51,24.25,23.98,23.72,23.46,23.2,22.95,22.7,22.45,22.2,21.96,21.72,21.48,21.25,21.02,20.79,20.56,20.33,20.11,19.89,19.67,19.46,19.25,19.03,18.83
