age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
22,120.41,77.58,63.31,71.67,53.79,92.64,58.96,61.31,64.08,58.83,27.07,60.42,95.78,53.17,54.44,44.84,74.36,50.89,68.07,36.51,36.01,82.23,60.42,54.91,54.63,54.22,53.67,53.0,52.29,51.56,50.82,50.05,49.26,48.48,47.74,47.05,46.41,45.83,45.29,44.79,44.3,43.83,43.35,42.88,42.41,41.94,41.48,41.03,40.58,40.14,39.7,39.26,38.83,38.41,37.99,37.57,37.16,36.76,36.35,35.96,35.56,35.17,34.79,34.41,34.03,33.66,33.29,32.93,32.57,32.21,31.86,31.51,31.17,30.82,30.49,30.15,29.82,29.5,29.18,28.86,28.54,28.23,27.92,27.61,27.31,27.01,26.72,26.43,26.14,25.85,25.57,25.29,25.01,24.74
23,54.29,121.48,117.47,76.54,84.07,74.62,94.36,33.44,90.12,56.74,46.83,43.74,75.0,44.89,72.09,41.43,76.25,48.34,52.25,41.69,57.19,56.71,58.16,58.01,57.77,57.4,56.88,56.24,55.56,54.85,54.12,53.36,52.59,51.82,51.08,50.38,49.74,49.15,48.59,48.06,47.54,47.03,46.52,46.02,45.51,45.02,44.52,44.04,43.55,43.08,42.61,42.14,41.68,41.22,40.77,40.33,39.89,39.45,39.02,38.59,38.17,37.75,37.34,36.93,36.53,36.13,35.73,35.34,34.95,34.57,34.19,33.82,33.45,33.08,32.72,32.36,32.01,31.66,31.31,30.97,30.63,30.3,29.97,29.64,29.31,28.99,28.68,28.36,28.05,27.75,27.44,27.14,26.84,26.55
24,65.16,83.14,69.1,87.53,50.34,80.57,75.5,108.9,68.91,29.36,53.51,75.73,46.57,72.69,59.3,31.81,37.17,53.37,57.22,88.76,67.15,62.04,61.95,61.82,61.59,61.23,60.71,60.07,59.39,58.67,57.94,57.17,56.39,55.61,54.86,54.16,53.49,52.87,52.28,51.72,51.16,50.61,50.06,49.52,48.98,48.44,47.91,47.39,46.87,46.35,45.85,45.35,44.85,44.36,43.87,43.39,42.92,42.45,41.99,41.53,41.07,40.62,40.18,39.74,39.31,38.88,38.45,38.03,37.61,37.2,36.8,36.39,35.99,35.6,35.21,34.83,34.45,34.07,33.7,33.33,32.96,32.6,32.25,31.89,31.54,31.2,30.86,30.52,30.19,29.86,29.53,29.21,28.89,28.57
25,103.63,87.86,90.7,62.96,51.33,56.29,62.29,96.9,61.1,85.66,100.79,72.47,90.33,64.38,54.6,44.06,68.16,42.28,62.25,63.9,66.38,66.31,66.21,66.07,65.83,65.44,64.9,64.24,63.53,62.79,62.04,61.25,60.45,59.65,58.88,58.15,57.46,56.8,56.18,55.57,54.97,54.37,53.78,53.2,52.61,52.04,51.47,50.91,50.35,49.8,49.25,48.72,48.18,47.66,47.13,46.62,46.11,45.6,45.11,44.61,44.12,43.64,43.16,42.69,42.23,41.76,41.31,40.85,40.41,39.97,39.53,39.1,38.67,38.25,37.83,37.41,37.0,36.6,36.2,35.8,35.41,35.02,34.64,34.26,33.89,33.52,33.15,32.79,32.43,32.07,31.72,31.38,31.03,30.69
26,140.57,98.66,64.49,48.12,62.49,94.05,95.3,104.42,88.48,113.34,56.36,99.99,70.23,70.12,95.01,91.77,66.72,89.06,73.86,70.79,70.7,70.61,70.49,70.32,70.05,69.63,69.05,68.37,67.63,66.87,66.08,65.28,64.45,63.63,62.84,62.08,61.36,60.67,60.0,59.35,58.71,58.07,57.44,56.81,56.19,55.57,54.96,54.36,53.77,53.18,52.6,52.02,51.45,50.89,50.34,49.78,49.24,48.7,48.17,47.64,47.12,46.61,46.1,45.59,45.09,44.6,44.11,43.63,43.15,42.68,42.21,41.75,41.3,40.84,40.4,39.95,39.52,39.09,38.66,38.24,37.82,37.4,36.99,36.59,36.19,35.79,35.4,35.01,34.63,34.25,33.88,33.51,33.14,32.78
27,96.75,93.44,65.12,97.07,63.7,69.08,80.58,95.15,94.83,104.44,67.64,111.38,80.65,65.83,65.63,68.57,60.99,70.11,75.23,75.06,74.95,74.83,74.68,74.48,74.16,73.7,73.09,72.38,71.61,70.81,70.0,69.17,68.32,67.48,66.66,65.88,65.13,64.4,63.7,63.01,62.32,61.64,60.96,60.3,59.64,58.99,58.34,57.7,57.07,56.45,55.83,55.22,54.62,54.02,53.43,52.84,52.27,51.69,51.13,50.57,50.02,49.47,48.93,48.39,47.86,47.34,46.82,46.31,45.8,45.3,44.81,44.32,43.83,43.35,42.88,42.41,41.95,41.49,41.03,40.58,40.14,39.7,39.27,38.84,38.41,37.99,37.58,37.17,36.76,36.36,35.96,35.57,35.18,34.79
28,129.01,104.87,92.2,87.67,91.36,37.72,70.27,63.72,132.89,110.59,83.78,31.5,86.7,75.25,63.77,83.44,79.17,79.69,79.34,79.16,79.01,78.85,78.66,78.41,78.04,77.54,76.89,76.14,75.34,74.52,73.67,72.81,71.95,71.08,70.25,69.44,68.66,67.9,67.15,66.42,65.7,64.98,64.27,63.56,62.87,62.18,61.5,60.83,60.16,59.51,58.85,58.21,57.57,56.94,56.32,55.71,55.1,54.49,53.9,53.31,52.73,52.15,51.58,51.01,50.46,49.9,49.36,48.82,48.28,47.76,47.23,46.72,46.21,45.7,45.2,44.71,44.22,43.73,43.26,42.78,42.31,41.85,41.39,40.94,40.49,40.05,39.61,39.18,38.75,38.33,37.91,37.49,37.08,36.68
29,86.2,82.5,82.5,105.34,87.15,109.1,97.43,122.49,112.28,73.92,62.4,100.37,90.5,109.77,94.35,85.58,84.61,83.94,83.56,83.34,83.15,82.94,82.69,82.38,81.96,81.4,80.71,79.92,79.08,78.23,77.35,76.47,75.57,74.69,73.83,72.99,72.18,71.38,70.6,69.83,69.07,68.31,67.56,66.82,66.09,65.37,64.66,63.95,63.25,62.56,61.87,61.2,60.53,59.87,59.21,58.56,57.92,57.29,56.66,56.04,55.43,54.82,54.22,53.63,53.04,52.46,51.89,51.32,50.76,50.21,49.66,49.11,48.58,48.05,47.52,47.0,46.49,45.98,45.47,44.98,44.49,44.0,43.52,43.04,42.57,42.11,41.64,41.19,40.74,40.29,39.85,39.42,38.99,38.56
30,59.32,111.22,88.8,89.65,98.68,114.49,92.03,106.76,80.22,36.68,73.13,109.12,124.7,93.08,89.52,90.15,89.02,88.31,87.9,87.62,87.38,87.11,86.8,86.42,85.93,85.31,84.57,83.74,82.86,81.96,81.06,80.14,79.22,78.31,77.42,76.55,75.71,74.88,74.06,73.25,72.45,71.65,70.87,70.1,69.33,68.57,67.82,67.08,66.35,65.62,64.9,64.19,63.49,62.8,62.11,61.43,60.76,60.09,59.44,58.79,58.14,57.51,56.88,56.26,55.64,55.03,54.43,53.84,53.25,52.66,52.09,51.52,50.95,50.4,49.85,49.3,48.76,48.23,47.7,47.18,46.66,46.15,45.65,45.15,44.65,44.17,43.68,43.21,42.73,42.27,41.8,41.35,40.89,40.45
31,76.16,89.6,55.81,118.3,98.86,98.05,119.12,122.17,111.07,115.24,107.68,167.09,91.95,94.15,96.37,94.76,93.6,92.85,92.38,92.05,91.73,91.39,91.01,90.55,89.99,89.31,88.51,87.63,86.7,85.77,84.82,83.87,82.92,81.99,81.07,80.17,79.29,78.42,77.56,76.71,75.87,75.04,74.22,73.41,72.61,71.82,71.03,70.25,69.48,68.72,67.97,67.23,66.49,65.77,65.05,64.34,63.63,62.94,62.25,61.57,60.89,60.23,59.57,58.92,58.27,57.64,57.01,56.38,55.77,55.16,54.55,53.96,53.37,52.78,52.2,51.63,51.07,50.51,49.96,49.41,48.87,48.34,47.81,47.28,46.77,46.26,45.75,45.25,44.75,44.27,43.78,43.3,42.83,42.36
