Column1,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
10,19.17,21.04,15.77,16.23,16.24,14.10,13.34,12.78,13.69,12.58,13.97,10.78,14.49,11.31,13.71,8.98,13.69,7.91,13.24,11.32,7.02,12.04,11.27,8.15,8.56,8.01,11.48,7.79,7.62,7.51,4.43,7.22,8.58,6.59,5.58,5.63,4.17,7.82,7.29,4.71,5.16,5.24,5.06,4.89,4.80,4.75,4.63,4.43,4.43,4.29,3.86,3.64,3.66,3.59,3.51,3.45,3.39,3.40,3.34,3.27,3.28,3.21,3.13,3.13,3.12,3.10,3.07,3.05,3.02,2.99,2.90,2.81,2.80,2.79,2.78,2.79,2.73,2.67,2.69,2.63,2.58,2.61,2.56,2.51,2.53,2.55,2.49,2.35,2.29,2.30,2.31,2.23,2.16,2.16,2.16,2.16,2.08,1.92,1.84,1.83,1.83,1.82,1.82,1.81,1.81,1.81,1.81,1.73,1.66,1.66,1.66,1.59,1.52,1.53,1.53,1.54,1.55,1.55,1.56,1.57,1.49,1.42,1.42,1.42,1.43,1.35,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.26,1.26,1.26,1.26,1.25
11,17.23,15.89,16.30,14.15,16.76,15.30,14.37,13.00,12.75,17.72,14.50,9.21,11.33,9.93,14.11,7.94,9.52,12.87,12.90,11.13,12.10,6.47,10.95,7.50,9.21,9.89,9.33,9.26,9.42,6.74,8.64,6.46,8.08,5.00,4.84,8.32,8.54,5.97,5.28,5.26,5.55,5.57,5.46,5.34,5.25,5.15,4.98,4.81,4.80,4.80,4.55,4.27,4.21,4.08,3.94,3.87,3.80,3.82,3.76,3.62,3.56,3.56,3.56,3.56,3.56,3.55,3.53,3.43,3.33,3.30,3.13,2.96,2.94,2.93,2.92,2.91,2.92,2.93,2.94,2.89,2.77,2.72,2.74,2.77,2.79,2.74,2.61,2.56,2.57,2.58,2.60,2.60,2.61,2.54,2.46,2.46,2.38,2.22,2.14,2.13,2.13,2.12,2.11,2.11,2.11,2.10,2.10,2.02,1.95,1.95,1.95,1.88,1.81,1.74,1.67,1.68,1.69,1.69,1.62,1.55,1.56,1.57,1.57,1.57,1.58,1.50,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.34,1.26,1.26,1.26,1.26,1.24
12,15.86,18.21,19.25,18.31,21.06,17.57,16.75,14.05,17.10,16.45,13.92,13.37,13.66,12.74,13.05,9.58,11.21,15.49,13.38,9.49,10.86,11.04,15.23,12.77,12.83,9.70,12.02,7.65,10.31,9.37,8.67,8.60,6.43,4.76,6.73,6.52,8.83,5.31,3.88,7.76,6.34,6.33,6.15,6.04,5.93,5.78,5.69,5.53,5.42,5.43,5.32,5.15,5.03,4.98,4.94,4.79,4.65,4.66,4.68,4.55,4.34,4.28,4.29,4.21,4.07,3.99,3.97,3.88,3.78,3.74,3.64,3.54,3.51,3.49,3.47,3.46,3.45,3.39,3.33,3.35,3.30,3.25,3.27,3.23,3.19,3.07,2.95,2.97,2.92,2.86,2.88,2.89,2.90,2.83,2.75,2.68,2.60,2.60,2.59,2.59,2.58,2.57,2.56,2.56,2.55,2.55,2.54,2.39,2.24,2.24,2.24,2.24,2.25,2.18,2.11,2.12,2.13,2.14,1.99,1.85,1.86,1.86,1.87,1.87,1.88,1.88,1.81,1.73,1.73,1.65,1.58,1.58,1.57,1.57,1.49,1.41,1.41,1.41,1.41,1.39
13,20.43,19.34,18.70,19.26,19.53,19.16,18.11,15.85,17.08,15.48,12.08,13.61,17.82,13.92,15.55,13.31,14.63,13.65,11.93,11.77,10.53,12.97,9.44,12.39,12.49,12.78,11.24,10.61,10.89,8.09,8.23,8.07,8.27,11.63,11.83,8.72,6.77,7.96,9.25,8.75,7.52,7.56,7.35,7.21,6.97,6.75,6.68,6.47,6.31,6.28,6.18,6.09,5.95,5.86,5.90,5.79,5.64,5.64,5.59,5.46,5.33,5.28,5.22,5.08,4.93,4.86,4.85,4.76,4.66,4.63,4.59,4.55,4.51,4.47,4.45,4.42,4.41,4.33,4.20,4.01,3.89,3.91,3.94,3.83,3.72,3.68,3.64,3.60,3.48,3.43,3.45,3.47,3.48,3.42,3.35,3.27,3.20,3.20,3.19,3.19,3.10,2.94,2.86,2.85,2.85,2.84,2.83,2.75,2.68,2.67,2.67,2.68,2.61,2.54,2.55,2.55,2.56,2.57,2.51,2.44,2.38,2.31,2.32,2.33,2.33,2.34,2.27,2.19,2.19,2.12,2.04,1.96,1.88,1.88,1.88,1.88,1.87,1.87,1.87,1.85
14,24.63,22.26,20.72,18.71,19.96,18.74,20.73,19.50,20.52,19.77,23.63,19.17,20.83,18.63,18.07,20.90,16.14,13.49,13.90,13.57,12.31,17.63,15.32,12.09,14.18,13.22,13.24,8.53,13.27,14.89,9.13,8.75,11.36,11.64,10.70,11.18,10.13,8.97,11.20,8.68,8.96,9.06,8.89,8.66,8.39,8.13,7.99,7.82,7.68,7.58,7.38,7.18,7.06,6.95,6.89,6.80,6.70,6.63,6.48,6.28,6.24,6.26,6.20,6.07,6.01,6.01,6.01,5.85,5.69,5.66,5.62,5.57,5.52,5.47,5.43,5.40,5.37,5.35,5.21,4.94,4.82,4.84,4.80,4.69,4.66,4.70,4.67,4.56,4.38,4.20,4.16,4.18,4.20,4.14,4.01,3.94,3.94,3.94,3.94,3.94,3.85,3.62,3.46,3.45,3.44,3.43,3.42,3.41,3.41,3.40,3.33,3.26,3.18,3.11,3.05,2.98,2.99,3.00,2.94,2.88,2.81,2.75,2.76,2.77,2.78,2.71,2.64,2.64,2.65,2.65,2.65,2.58,2.50,2.50,2.42,2.34,2.34,2.33,2.33,2.30
15,28.59,24.62,21.79,27.84,22.95,21.83,22.47,26.55,20.03,21.04,21.83,19.18,21.92,17.04,21.92,22.21,26.50,17.26,21.33,14.48,18.68,14.45,16.24,17.65,13.09,18.24,13.13,15.50,14.80,15.61,9.14,12.04,13.08,13.23,15.52,12.93,9.07,13.81,10.60,9.52,10.65,10.71,10.51,10.27,10.09,9.85,9.58,9.34,9.13,9.00,8.78,8.54,8.43,8.34,8.14,7.98,7.85,7.75,7.67,7.46,7.34,7.36,7.32,7.19,7.14,7.08,7.01,6.86,6.70,6.61,6.50,6.45,6.40,6.34,6.29,6.24,6.20,6.17,6.08,5.94,5.88,5.89,5.85,5.75,5.72,5.77,5.67,5.58,5.41,5.17,5.13,5.17,5.13,5.08,5.02,4.96,4.75,4.53,4.53,4.53,4.52,4.44,4.28,4.19,4.18,4.17,4.16,4.15,4.14,4.13,3.98,3.83,3.83,3.83,3.77,3.70,3.71,3.65,3.51,3.45,3.46,3.48,3.49,3.43,3.29,3.15,3.08,3.09,3.10,3.10,3.03,2.95,2.95,2.95,2.87,2.79,2.79,2.79,2.79,2.75
16,26.71,30.94,29.67,26.96,26.41,26.44,24.18,25.44,27.28,28.97,24.46,24.23,30.14,20.64,24.79,26.61,23.57,31.27,22.90,20.52,25.27,24.64,20.20,23.97,23.56,18.28,18.87,14.55,19.77,18.36,13.06,10.98,13.34,18.69,15.08,14.30,16.00,15.41,12.59,11.39,12.43,12.50,12.25,11.96,11.69,11.44,11.18,10.90,10.67,10.55,10.43,10.16,9.87,9.73,9.55,9.39,9.13,8.95,8.93,8.71,8.57,8.59,8.48,8.37,8.32,8.19,8.13,7.99,7.84,7.76,7.67,7.63,7.50,7.36,7.30,7.16,7.04,7.00,6.96,6.87,6.80,6.74,6.69,6.65,6.55,6.53,6.44,6.36,6.34,6.25,6.23,6.21,6.10,6.07,6.02,5.97,5.77,5.55,5.56,5.49,5.41,5.40,5.24,5.08,5.07,4.98,4.89,4.88,4.86,4.85,4.77,4.69,4.55,4.40,4.40,4.41,4.42,4.28,4.15,4.17,4.18,4.20,4.14,4.01,3.87,3.81,3.82,3.83,3.77,3.70,3.63,3.55,3.56,3.56,3.48,3.32,3.24,3.24,3.24,3.20
17,32.31,29.56,35.51,34.66,33.84,28.14,30.60,31.23,29.82,29.02,36.36,31.42,30.27,26.65,26.16,29.97,30.76,32.17,30.71,23.57,26.57,28.25,26.34,22.96,24.78,24.77,25.37,23.19,19.61,23.21,17.35,17.26,14.15,16.69,15.05,14.41,16.15,15.00,16.46,15.92,14.17,14.44,14.12,13.76,13.38,13.10,12.84,12.55,12.27,12.06,11.95,11.71,11.39,11.19,11.02,10.88,10.69,10.47,10.24,10.01,9.87,9.80,9.69,9.58,9.47,9.35,9.37,9.24,9.10,9.03,8.87,8.78,8.66,8.52,8.45,8.30,8.16,8.10,7.99,7.88,7.85,7.71,7.51,7.47,7.43,7.34,7.26,7.17,7.17,7.09,7.00,6.92,6.83,6.87,6.77,6.65,6.68,6.63,6.57,6.50,6.43,6.35,6.19,6.10,6.09,6.00,5.91,5.75,5.58,5.57,5.56,5.55,5.40,5.18,5.10,5.11,5.12,5.05,4.92,4.86,4.88,4.90,4.70,4.49,4.51,4.53,4.55,4.49,4.35,4.28,4.29,4.30,4.22,4.15,4.07,3.92,3.84,3.84,3.84,3.79
18,41.06,29.82,34.25,26.82,29.27,36.21,34.24,33.41,37.34,29.05,28.39,32.97,27.59,25.66,30.67,31.40,29.46,32.30,30.35,38.54,29.55,26.45,26.33,27.88,27.48,25.87,26.45,28.74,22.94,22.07,18.96,15.67,18.98,20.34,20.41,21.78,20.70,22.84,24.65,17.70,15.83,16.12,15.79,15.43,15.04,14.69,14.35,14.01,13.70,13.41,13.22,13.08,12.90,12.65,12.41,12.20,12.03,11.89,11.70,11.57,11.35,11.13,10.99,10.88,10.71,10.53,10.49,10.38,10.25,10.11,9.96,9.81,9.71,9.66,9.58,9.50,9.42,9.34,9.13,8.94,8.90,8.80,8.66,8.53,8.42,8.26,8.10,7.96,7.88,7.81,7.73,7.66,7.58,7.57,7.47,7.44,7.41,7.29,7.24,7.18,7.11,7.04,6.89,6.80,6.79,6.78,6.76,6.59,6.36,6.27,6.25,6.24,6.23,6.08,5.86,5.79,5.79,5.80,5.67,5.54,5.56,5.58,5.38,5.18,5.20,5.22,5.17,5.03,4.97,4.91,4.78,4.71,4.64,4.57,4.57,4.57,4.50,4.42,4.42,4.36
19,31.18,33.81,34.34,30.43,28.22,32.23,31.83,31.00,34.28,31.15,35.58,31.85,32.11,29.56,32.41,32.67,29.44,30.58,30.90,34.46,24.25,31.43,29.27,33.94,27.86,25.55,24.25,26.98,24.57,25.42,21.98,19.69,18.25,21.24,23.30,18.23,18.56,21.88,19.47,22.25,17.19,17.40,17.10,16.76,16.38,16.03,15.67,15.38,15.04,14.71,14.48,14.24,14.06,13.83,13.64,13.42,13.12,12.98,13.00,12.85,12.52,12.38,12.17,11.89,11.65,11.48,11.38,11.27,11.15,11.03,10.96,10.82,10.66,10.49,10.37,10.29,10.20,10.12,9.96,9.82,9.77,9.65,9.56,9.48,9.29,9.12,8.96,8.81,8.73,8.66,8.60,8.53,8.40,8.25,8.17,8.16,8.06,7.96,7.92,7.72,7.59,7.60,7.46,7.30,7.29,7.28,7.19,7.10,7.01,6.92,6.90,6.88,6.80,6.65,6.50,6.42,6.35,6.29,6.22,6.16,6.11,6.06,6.01,5.88,5.76,5.71,5.66,5.61,5.56,5.43,5.29,5.15,5.02,4.95,4.96,4.96,4.88,4.73,4.66,4.60
20,35.35,38.25,32.91,31.37,31.57,32.81,32.99,34.02,32.29,29.29,30.31,32.70,34.63,25.41,28.63,32.34,29.72,30.96,31.94,31.25,31.29,29.90,29.21,29.27,30.02,25.98,21.27,24.97,25.22,23.67,18.71,21.47,19.94,19.17,21.06,21.32,18.96,18.74,19.44,18.05,18.31,18.44,18.03,17.73,17.39,17.00,16.65,16.40,16.05,15.70,15.48,15.19,14.91,14.68,14.52,14.33,14.12,14.03,13.91,13.64,13.44,13.41,13.20,12.86,12.58,12.41,12.25,12.08,11.98,11.87,11.75,11.61,11.47,11.32,11.15,11.02,10.94,10.85,10.69,10.54,10.46,10.20,9.96,9.93,9.78,9.67,9.63,9.54,9.46,9.39,9.27,9.21,9.08,8.95,8.88,8.81,8.72,8.56,8.39,8.21,8.16,8.10,7.97,7.90,7.82,7.74,7.65,7.57,7.55,7.46,7.37,7.35,7.19,6.96,6.88,6.88,6.80,6.73,6.67,6.61,6.55,6.43,6.38,6.33,6.21,6.09,6.04,6.07,5.87,5.68,5.70,5.64,5.43,5.29,5.30,5.23,5.16,5.02,4.87,4.81
21,32.13,34.70,33.35,31.17,30.87,30.01,28.67,31.89,35.73,33.83,30.61,33.26,31.82,32.64,32.10,35.31,37.41,29.68,36.07,29.13,32.74,29.86,28.21,30.38,27.82,25.17,26.68,27.41,26.86,18.41,24.30,19.42,20.30,22.34,18.60,24.99,19.56,22.43,21.29,19.69,19.04,19.10,18.65,18.32,17.96,17.55,17.29,17.06,16.80,16.51,16.16,15.88,15.59,15.37,15.15,14.94,14.82,14.74,14.53,14.18,14.05,14.00,13.84,13.71,13.50,13.30,13.13,12.84,12.68,12.51,12.33,12.21,12.08,12.01,11.85,11.75,11.69,11.54,11.31,11.15,11.06,10.85,10.59,10.41,10.25,10.11,10.00,9.90,9.81,9.73,9.60,9.54,9.49,9.43,9.37,9.24,9.17,9.02,8.86,8.77,8.73,8.61,8.42,8.36,8.29,8.14,8.06,8.04,8.03,7.87,7.71,7.69,7.60,7.44,7.29,7.14,7.06,7.06,6.92,6.79,6.80,6.74,6.62,6.57,6.59,6.48,6.36,6.39,6.27,6.08,6.03,6.05,5.85,5.64,5.66,5.59,5.52,5.38,5.24,5.17
22,36.30,34.35,28.91,32.01,31.75,36.04,28.09,29.75,32.50,29.45,36.44,31.44,28.96,31.14,31.35,28.86,31.94,33.23,35.82,32.37,30.92,28.30,33.18,29.01,28.13,25.62,26.03,27.21,21.46,20.11,22.65,19.49,21.02,23.72,19.30,22.65,19.24,23.66,25.75,24.17,19.59,19.81,19.37,18.87,18.48,18.13,17.85,17.59,17.40,17.27,16.97,16.62,16.28,16.05,15.78,15.57,15.41,15.18,14.99,14.79,14.64,14.46,14.23,14.14,14.07,13.94,13.80,13.57,13.35,13.19,12.96,12.79,12.60,12.40,12.26,12.18,12.08,11.89,11.73,11.64,11.54,11.45,11.31,10.98,10.74,10.64,10.44,10.33,10.16,10.02,9.94,9.88,9.82,9.70,9.65,9.53,9.47,9.40,9.32,9.24,9.14,9.04,8.85,8.73,8.60,8.46,8.39,8.31,8.22,8.13,8.04,7.96,7.87,7.85,7.76,7.54,7.32,7.25,7.17,7.04,6.98,6.99,6.93,6.81,6.77,6.72,6.60,6.56,6.59,6.47,6.35,6.38,6.25,6.05,6.00,5.94,5.88,5.74,5.60,5.53
