,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
20,91.0,107.53,84.27,114.72,76.87,121.58,109.61,100.68,98.76,59.3,72.1,56.73,45.08,80.23,52.09,28.9,46.29,68.13,48.31,46.76,44.92,43.23,41.66,40.21,38.87,37.62,36.47,35.41,34.42,33.51,32.67,31.89,31.17,30.5,29.89,29.33,28.81,28.33,27.89,27.48,27.11,26.76,26.44,26.12,25.81,25.5,25.19,24.89,24.59,24.3,24.01,23.72,23.43,23.15,22.87,22.6,22.33,22.06,21.8,21.53,21.28,21.02,20.77,20.52,20.27,20.03,19.79,19.55,19.32,19.09,18.86,18.63,18.41,18.19,17.97,17.75,17.54,17.33,17.12,16.91,16.71,16.51,16.31,16.12,15.92,15.73,15.54,15.36
21,123.08,124.8,80.35,100.21,116.63,104.87,78.36,54.14,99.34,87.63,47.67,80.11,58.62,70.28,70.91,51.1,74.03,49.95,48.42,46.58,44.88,43.31,41.84,40.49,39.23,38.07,36.99,35.99,35.06,34.2,33.4,32.66,31.98,31.35,30.77,30.23,29.74,29.28,28.86,28.47,28.11,27.77,27.43,27.1,26.78,26.46,26.14,25.83,25.52,25.21,24.91,24.61,24.31,24.02,23.73,23.45,23.17,22.89,22.61,22.34,22.07,21.81,21.55,21.29,21.03,20.78,20.53,20.29,20.04,19.8,19.56,19.33,19.1,18.87,18.64,18.42,18.2,17.98,17.76,17.55,17.34,17.13,16.93,16.72,16.52,16.32,16.13,15.93
22,111.45,97.46,70.23,97.24,111.59,98.39,77.84,89.74,99.34,59.88,55.16,50.51,46.76,60.77,47.67,64.47,49.45,48.02,46.27,44.65,43.15,41.75,40.46,39.25,38.13,37.08,36.11,35.21,34.38,33.6,32.88,32.21,31.59,31.02,30.49,30.0,29.54,29.12,28.73,28.37,28.02,27.69,27.36,27.03,26.7,26.38,26.07,25.75,25.45,25.14,24.84,24.54,24.25,23.95,23.67,23.38,23.1,22.83,22.55,22.28,22.01,21.75,21.49,21.23,20.98,20.72,20.48,20.23,19.99,19.75,19.51,19.28,19.05,18.82,18.59,18.37,18.15,17.93,17.71,17.5,17.29,17.08,16.88,16.68,16.48,16.28,16.08,15.89
23,156.94,103.27,155.3,126.42,119.85,86.31,85.81,79.56,85.1,56.9,70.86,49.9,70.29,73.92,69.45,53.03,51.59,49.81,48.16,46.61,45.17,43.83,42.58,41.42,40.33,39.32,38.38,37.5,36.68,35.92,35.22,34.56,33.95,33.38,32.85,32.36,31.9,31.48,31.08,30.71,30.34,29.97,29.61,29.26,28.91,28.56,28.22,27.88,27.55,27.21,26.89,26.57,26.25,25.93,25.62,25.31,25.01,24.71,24.41,24.12,23.83,23.54,23.26,22.98,22.71,22.43,22.17,21.9,21.64,21.38,21.12,20.87,20.62,20.37,20.13,19.88,19.65,19.41,19.18,18.95,18.72,18.49,18.27,18.05,17.84,17.62,17.41,17.2
24,100.85,123.75,159.9,108.32,114.07,94.88,82.05,41.31,65.85,48.82,54.75,64.76,53.76,90.04,57.58,56.13,54.3,52.59,51.0,49.5,48.11,46.8,45.58,44.44,43.38,42.38,41.45,40.58,39.77,39.01,38.3,37.64,37.03,36.46,35.92,35.42,34.95,34.52,34.1,33.69,33.28,32.89,32.49,32.1,31.72,31.33,30.96,30.59,30.22,29.86,29.5,29.15,28.8,28.45,28.11,27.77,27.44,27.11,26.78,26.46,26.15,25.83,25.52,25.22,24.91,24.61,24.32,24.03,23.74,23.45,23.17,22.89,22.62,22.35,22.08,21.81,21.55,21.29,21.04,20.79,20.54,20.29,20.05,19.81,19.57,19.33,19.1,18.87
25,109.69,116.38,146.63,123.17,67.23,119.7,108.16,85.42,57.65,75.21,92.65,95.31,99.47,63.13,61.66,59.75,57.97,56.3,54.73,53.26,51.88,50.59,49.38,48.25,47.18,46.19,45.25,44.38,43.56,42.79,42.07,41.4,40.77,40.18,39.63,39.11,38.62,38.15,37.7,37.24,36.8,36.36,35.92,35.49,35.06,34.64,34.23,33.82,33.41,33.01,32.61,32.22,31.84,31.45,31.08,30.7,30.33,29.97,29.61,29.26,28.9,28.56,28.22,27.88,27.54,27.21,26.89,26.56,26.24,25.93,25.62,25.31,25.01,24.71,24.41,24.12,23.83,23.54,23.26,22.98,22.7,22.43,22.16,21.9,21.63,21.37,21.12,20.87
26,117.84,112.91,119.73,117.12,81.44,103.1,65.47,82.79,68.05,98.34,69.09,95.2,70.31,68.79,66.77,64.88,63.09,61.42,59.85,58.37,56.97,55.67,54.44,53.28,52.2,51.18,50.22,49.32,48.47,47.68,46.93,46.23,45.57,44.95,44.37,43.81,43.28,42.76,42.25,41.74,41.24,40.75,40.26,39.78,39.3,38.83,38.36,37.9,37.45,37.0,36.55,36.11,35.68,35.25,34.83,34.41,34.0,33.59,33.19,32.79,32.4,32.01,31.62,31.24,30.87,30.5,30.13,29.77,29.41,29.06,28.71,28.37,28.03,27.69,27.36,27.03,26.71,26.39,26.07,25.76,25.45,25.14,24.84,24.54,24.25,23.96,23.67,23.39
27,129.51,115.69,143.32,98.51,99.1,85.9,73.98,93.11,99.61,97.7,74.06,80.29,78.72,76.56,74.52,72.6,70.79,69.08,67.47,65.95,64.51,63.16,61.88,60.68,59.54,58.47,57.46,56.5,55.6,54.76,53.96,53.2,52.49,51.81,51.17,50.55,49.94,49.34,48.75,48.17,47.59,47.02,46.45,45.89,45.34,44.8,44.26,43.73,43.21,42.69,42.18,41.67,41.17,40.68,40.19,39.71,39.23,38.76,38.29,37.83,37.38,36.93,36.49,36.05,35.62,35.19,34.77,34.35,33.94,33.53,33.13,32.73,32.34,31.95,31.57,31.19,30.82,30.45,30.08,29.72,29.36,29.01,28.66,28.32,27.98,27.64,27.31,26.98
28,150.01,139.44,112.92,104.93,113.55,88.98,98.87,119.49,91.05,115.86,89.86,88.26,85.99,83.84,81.81,79.89,78.07,76.34,74.71,73.17,71.7,70.32,69.01,67.77,66.59,65.48,64.43,63.43,62.49,61.59,60.74,59.94,59.17,58.44,57.73,57.04,56.36,55.68,55.01,54.35,53.7,53.06,52.42,51.79,51.17,50.55,49.95,49.35,48.76,48.17,47.59,47.02,46.46,45.9,45.35,44.81,44.27,43.74,43.21,42.69,42.18,41.68,41.18,40.68,40.19,39.71,39.23,38.76,38.3,37.84,37.39,36.94,36.49,36.06,35.62,35.2,34.77,34.36,33.94,33.54,33.13,32.74,32.34,31.96,31.57,31.19,30.82,30.45
29,115.09,138.69,152.17,95.87,110.89,105.42,145.42,86.65,144.38,100.78,99.17,96.78,94.52,92.38,90.34,88.4,86.56,84.81,83.15,81.57,80.07,78.65,77.29,76.0,74.78,73.61,72.51,71.45,70.45,69.49,68.58,67.71,66.88,66.07,65.28,64.5,63.72,62.96,62.2,61.46,60.72,59.99,59.27,58.56,57.86,57.16,56.48,55.8,55.13,54.47,53.82,53.17,52.53,51.9,51.28,50.66,50.06,49.45,48.86,48.28,47.7,47.12,46.56,46.0,45.45,44.9,44.36,43.83,43.31,42.79,42.27,41.77,41.26,40.77,40.28,39.8,39.32,38.85,38.38,37.92,37.47,37.02,36.57,36.13,35.7,35.27,34.85,34.43
30,170.58,130.14,125.28,50.88,147.76,84.73,130.8,121.22,110.1,108.59,106.22,103.95,101.79,99.73,97.76,95.88,94.08,92.37,90.73,89.16,87.67,86.24,84.87,83.57,82.32,81.13,79.99,78.89,77.84,76.84,75.87,74.94,74.04,73.15,72.27,71.41,70.55,69.7,68.87,68.04,67.23,66.42,65.62,64.83,64.06,63.29,62.53,61.78,61.04,60.31,59.58,58.87,58.16,57.46,56.77,56.09,55.42,54.75,54.1,53.45,52.81,52.17,51.55,50.93,50.32,49.71,49.12,48.53,47.95,47.37,46.8,46.24,45.69,45.14,44.6,44.06,43.53,43.01,42.49,41.98,41.48,40.98,40.49,40.01,39.53,39.05,38.58,38.12
31,153.37,115.27,125.05,112.83,140.96,145.84,99.95,118.39,117.03,114.73,112.51,110.39,108.35,106.39,104.51,102.71,100.97,99.31,97.71,96.17,94.69,93.27,91.91,90.59,89.33,88.11,86.94,85.81,84.72,83.67,82.65,81.65,80.67,79.7,78.75,77.8,76.87,75.95,75.03,74.13,73.24,72.37,71.5,70.64,69.79,68.96,68.13,67.31,66.5,65.71,64.92,64.14,63.37,62.61,61.86,61.12,60.38,59.66,58.94,58.23,57.54,56.85,56.16,55.49,54.82,54.17,53.52,52.87,52.24,51.61,50.99,50.38,49.78,49.18,48.59,48.01,47.43,46.86,46.3,45.74,45.2,44.65,44.12,43.59,43.06,42.55,42.04,41.53
32,141.57,121.18,144.88,141.33,183.24,134.28,127.11,125.94,123.73,121.59,119.53,117.54,115.61,113.75,111.95,110.21,108.54,106.91,105.34,103.82,102.35,100.93,99.55,98.21,96.92,95.67,94.45,93.27,92.12,91.0,89.9,88.83,87.76,86.71,85.67,84.64,83.62,82.62,81.63,80.65,79.68,78.73,77.78,76.85,75.93,75.02,74.12,73.23,72.35,71.48,70.62,69.78,68.94,68.11,67.29,66.49,65.69,64.9,64.12,63.35,62.59,61.84,61.1,60.37,59.64,58.93,58.22,57.52,56.83,56.15,55.48,54.81,54.15,53.5,52.86,52.23,51.6,50.98,50.37,49.77,49.17,48.58,48.0,47.42,46.85,46.29,45.73,45.18
33,118.04,123.45,149.76,114.48,142.72,134.82,133.89,131.83,129.82,127.86,125.96,124.11,122.31,120.56,118.85,117.18,115.57,113.99,112.45,110.95,109.49,108.06,106.67,105.32,103.99,102.7,101.43,100.2,98.99,97.8,96.62,95.46,94.32,93.19,92.07,90.96,89.87,88.8,87.73,86.68,85.64,84.61,83.6,82.59,81.6,80.62,79.66,78.7,77.76,76.82,75.9,74.99,74.09,73.2,72.32,71.46,70.6,69.75,68.91,68.09,67.27,66.46,65.67,64.88,64.1,63.33,62.57,61.82,61.08,60.35,59.62,58.91,58.2,57.5,56.81,56.13,55.46,54.79,54.13,53.48,52.84,52.21,51.58,50.96,50.35,49.75,49.15,48.56
34,158.49,175.12,166.53,178.43,143.32,142.66,140.76,138.9,137.08,135.28,133.53,131.8,130.1,128.43,126.8,125.19,123.61,122.06,120.53,119.03,117.56,116.11,114.69,113.29,111.91,110.55,109.22,107.91,106.61,105.33,104.07,102.82,101.59,100.37,99.16,97.97,96.8,95.64,94.49,93.36,92.24,91.13,90.04,88.96,87.89,86.83,85.79,84.76,83.75,82.74,81.75,80.77,79.8,78.84,77.9,76.96,76.04,75.13,74.22,73.33,72.45,71.59,70.73,69.88,69.04,68.21,67.39,66.58,65.79,65.0,64.22,63.45,62.68,61.93,61.19,60.46,59.73,59.01,58.31,57.61,56.91,56.23,55.56,54.89,54.23,53.58,52.94,52.3
