age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
20,103.72,69.18,104.21,56.2,194.28,107.85,69.78,62.35,156.48,125.74,101.95,89.49,73.93,73.51,65.08,56.9,81.74,41.39,66.87,35.48,73.93,75.8,72.5,60.37,64.38,67.09,66.18,65.13,64.03,62.92,61.81,60.67,59.51,58.38,57.31,56.32,55.43,54.64,53.94,53.29,52.68,52.09,51.51,50.93,50.35,49.79,49.24,48.7,48.16,47.63,47.11,46.6,46.09,45.58,45.09,44.59,44.11,43.62,43.15,42.67,42.21,41.75,41.29,40.84,40.39,39.95,39.51,39.08,38.65,38.23,37.81,37.4,36.99,36.58,36.18,35.79,35.4,35.01,34.63,34.25,33.87,33.5,33.14,32.77,32.41,32.06,31.71,31.36,31.02,30.68,30.34,30.01,29.68,29.36
21,139.34,122.28,32.73,81.08,102.29,101.38,70.25,117.24,157.21,86.85,79.79,56.98,66.47,99.26,107.19,66.12,49.3,33.44,128.4,54.47,123.46,28.68,63.97,71.02,74.94,74.27,73.4,72.39,71.3,70.2,69.09,67.94,66.77,65.62,64.52,63.51,62.59,61.76,61.01,60.31,59.64,58.99,58.35,57.7,57.06,56.43,55.81,55.2,54.6,54.0,53.41,52.82,52.25,51.67,51.11,50.55,50.0,49.45,48.91,48.37,47.85,47.32,46.8,46.29,45.79,45.29,44.79,44.3,43.82,43.34,42.86,42.39,41.93,41.47,41.02,40.57,40.13,39.69,39.25,38.82,38.4,37.98,37.56,37.15,36.75,36.34,35.95,35.55,35.16,34.78,34.4,34.02,33.65,33.28
22,61.43,104.78,114.79,64.94,125.68,171.68,77.48,78.3,63.33,118.69,81.18,82.31,108.63,58.6,58.21,74.73,90.81,102.34,78.14,64.99,96.02,162.75,102.61,85.44,85.0,84.36,83.5,82.47,81.36,80.23,79.07,77.87,76.65,75.43,74.27,73.2,72.21,71.31,70.47,69.69,68.93,68.19,67.45,66.71,65.98,65.25,64.54,63.83,63.14,62.45,61.76,61.09,60.42,59.76,59.1,58.46,57.82,57.19,56.56,55.94,55.33,54.73,54.13,53.53,52.95,52.37,51.8,51.23,50.67,50.12,49.57,49.03,48.49,47.96,47.43,46.92,46.4,45.89,45.39,44.9,44.41,43.92,43.44,42.96,42.49,42.03,41.57,41.11,40.66,40.22,39.78,39.34,38.91,38.49
23,104.69,138.16,122.42,96.52,101.89,85.55,139.97,95.06,78.92,64.97,65.78,99.14,118.2,127.22,50.05,83.24,75.5,119.36,79.22,65.63,95.45,88.54,88.66,88.43,88.07,87.5,86.7,85.73,84.69,83.6,82.49,81.34,80.16,78.98,77.86,76.8,75.82,74.91,74.07,73.26,72.47,71.69,70.92,70.14,69.38,68.62,67.87,67.12,66.39,65.66,64.95,64.24,63.53,62.84,62.15,61.47,60.8,60.13,59.48,58.83,58.18,57.55,56.92,56.29,55.68,55.07,54.47,53.87,53.28,52.7,52.12,51.55,50.99,50.43,49.88,49.33,48.79,48.26,47.73,47.21,46.69,46.18,45.68,45.18,44.68,44.2,43.71,43.23,42.76,42.29,41.83,41.37,40.92,40.47
24,146.39,118.89,129.3,47.97,116.98,101.79,71.04,63.4,73.47,114.7,82.64,92.03,111.82,77.31,100.86,101.78,118.18,17.27,61.54,83.27,84.8,87.46,87.34,87.16,86.84,86.32,85.58,84.69,83.72,82.72,81.68,80.6,79.5,78.41,77.35,76.35,75.41,74.54,73.71,72.91,72.13,71.35,70.58,69.81,69.05,68.29,67.54,66.81,66.07,65.35,64.64,63.93,63.23,62.54,61.86,61.18,60.51,59.85,59.19,58.55,57.91,57.27,56.65,56.03,55.41,54.81,54.21,53.61,53.03,52.45,51.87,51.31,50.75,50.19,49.64,49.1,48.56,48.03,47.51,46.99,46.47,45.96,45.46,44.96,44.47,43.98,43.5,43.03,42.56,42.09,41.63,41.18,40.73,40.28
25,102.17,50.07,120.25,127.33,118.08,111.45,111.69,106.2,74.05,131.94,91.74,67.64,155.49,137.83,59.9,59.88,77.3,76.56,78.01,82.81,86.88,86.78,86.66,86.47,86.15,85.64,84.93,84.07,83.14,82.18,81.19,80.16,79.11,78.07,77.06,76.1,75.2,74.34,73.52,72.72,71.94,71.16,70.39,69.62,68.86,68.1,67.36,66.62,65.89,65.17,64.46,63.75,63.06,62.37,61.69,61.01,60.34,59.68,59.03,58.38,57.75,57.11,56.49,55.87,55.26,54.66,54.06,53.47,52.88,52.3,51.73,51.17,50.61,50.05,49.51,48.96,48.43,47.9,47.37,46.86,46.34,45.84,45.34,44.84,44.35,43.86,43.38,42.91,42.44,41.98,41.52,41.06,40.61,40.17
26,91.4,106.95,136.7,64.25,95.96,120.25,97.49,123.02,74.15,82.74,117.51,84.63,51.79,87.36,86.27,77.42,93.52,144.02,99.24,87.52,87.4,87.29,87.15,86.94,86.6,86.07,85.37,84.52,83.61,82.67,81.7,80.7,79.68,78.66,77.68,76.75,75.85,75.0,74.18,73.37,72.58,71.79,71.01,70.23,69.46,68.7,67.95,67.21,66.47,65.74,65.03,64.31,63.61,62.92,62.23,61.55,60.87,60.21,59.55,58.9,58.25,57.62,56.99,56.36,55.75,55.14,54.53,53.94,53.35,52.76,52.19,51.62,51.05,50.49,49.94,49.39,48.85,48.32,47.79,47.27,46.75,46.24,45.73,45.23,44.74,44.25,43.77,43.29,42.81,42.35,41.88,41.42,40.97,40.52
27,122.68,131.26,32.58,163.0,72.08,56.91,105.99,139.36,57.75,91.14,75.5,117.7,104.63,96.32,103.78,68.14,109.09,95.24,93.41,93.21,93.07,92.92,92.74,92.48,92.09,91.52,90.76,89.88,88.92,87.93,86.93,85.89,84.84,83.79,82.78,81.81,80.87,79.97,79.1,78.24,77.39,76.54,75.7,74.88,74.06,73.25,72.45,71.65,70.87,70.09,69.33,68.57,67.82,67.08,66.34,65.62,64.9,64.19,63.49,62.79,62.11,61.43,60.76,60.09,59.43,58.78,58.14,57.51,56.88,56.25,55.64,55.03,54.43,53.83,53.24,52.66,52.09,51.52,50.95,50.4,49.84,49.3,48.76,48.23,47.7,47.18,46.66,46.15,45.65,45.15,44.65,44.16,43.68,43.2
28,72.93,98.49,123.95,98.38,32.47,73.24,73.47,98.53,140.46,140.51,116.8,93.19,104.58,95.85,144.93,135.24,108.76,102.8,102.35,102.11,101.92,101.72,101.47,101.14,100.67,100.02,99.19,98.22,97.19,96.12,95.04,93.93,92.81,91.7,90.61,89.57,88.56,87.58,86.63,85.68,84.75,83.82,82.9,82.0,81.1,80.21,79.33,78.47,77.61,76.76,75.92,75.09,74.27,73.46,72.65,71.86,71.07,70.3,69.53,68.77,68.01,67.27,66.53,65.81,65.09,64.37,63.67,62.97,62.29,61.6,60.93,60.26,59.6,58.95,58.31,57.67,57.04,56.42,55.8,55.19,54.58,53.99,53.4,52.81,52.24,51.66,51.1,50.54,49.99,49.44,48.9,48.36,47.84,47.31
29,105.33,157.1,99.7,107.56,81.42,89.07,65.33,131.51,124.02,148.01,134.16,186.83,103.58,137.6,143.65,114.51,107.63,106.77,106.29,106.0,105.76,105.5,105.19,104.79,104.25,103.55,102.66,101.66,100.59,99.5,98.39,97.26,96.13,95.0,93.91,92.84,91.81,90.8,89.81,88.82,87.85,86.89,85.94,85.0,84.07,83.15,82.24,81.34,80.45,79.57,78.7,77.84,76.99,76.15,75.32,74.49,73.68,72.87,72.08,71.29,70.51,69.74,68.97,68.22,67.47,66.73,66.0,65.28,64.57,63.86,63.16,62.47,61.79,61.11,60.45,59.78,59.13,58.48,57.84,57.21,56.59,55.97,55.35,54.75,54.15,53.56,52.97,52.39,51.82,51.25,50.69,50.14,49.59,49.05
