age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
20,27.35,26.82,29.33,27.86,27.51,25.2,20.49,22.67,24.35,21.1,18.53,20.32,19.28,18.14,20.77,19.61,16.8,19.38,16.22,16.06,25.76,20.92,20.73,21.44,19.23,18.77,18.52,18.25,17.98,17.71,17.44,17.17,16.91,16.66,16.42,16.18,15.96,15.75,15.55,15.36,15.17,14.99,14.82,14.65,14.48,14.32,14.17,14.01,13.86,13.7,13.55,13.41,13.26,13.11,12.97,12.83,12.69,12.55,12.41,12.28,12.14,12.01,11.88,11.75,11.62,11.49,11.37,11.24,11.12,11.0,10.88,10.76,10.64,10.53,10.41,10.3,10.18,10.07,9.96,9.85,9.75,9.64,9.53,9.43,9.33,9.22,9.12,9.02,8.92,8.83,8.73,8.63,8.54,8.45
21,29.93,27.17,30.47,24.68,22.75,26.66,25.83,24.95,14.82,23.44,21.54,20.17,20.26,15.97,22.47,18.3,20.97,18.91,16.74,22.53,20.12,21.15,22.67,19.85,19.2,18.97,18.72,18.47,18.21,17.95,17.69,17.43,17.18,16.94,16.7,16.48,16.26,16.05,15.86,15.67,15.48,15.3,15.13,14.96,14.79,14.63,14.47,14.31,14.15,14.0,13.85,13.69,13.54,13.4,13.25,13.1,12.96,12.82,12.68,12.54,12.4,12.27,12.13,12.0,11.87,11.74,11.61,11.48,11.36,11.23,11.11,10.99,10.87,10.75,10.63,10.52,10.4,10.29,10.18,10.06,9.95,9.85,9.74,9.63,9.53,9.42,9.32,9.22,9.12,9.02,8.92,8.82,8.72,8.63
22,31.37,29.45,28.14,25.51,25.6,25.89,20.78,18.11,23.42,16.37,21.14,23.08,18.75,20.01,15.64,22.47,23.4,21.2,20.87,19.05,21.67,21.14,19.8,19.66,19.46,19.23,19.0,18.75,18.5,18.24,17.99,17.74,17.5,17.26,17.03,16.81,16.6,16.4,16.2,16.01,15.82,15.64,15.47,15.3,15.13,14.96,14.8,14.64,14.48,14.32,14.16,14.01,13.85,13.7,13.55,13.4,13.26,13.11,12.97,12.83,12.69,12.55,12.41,12.28,12.14,12.01,11.88,11.75,11.62,11.49,11.37,11.24,11.12,11.0,10.88,10.76,10.64,10.52,10.41,10.29,10.18,10.07,9.96,9.85,9.74,9.64,9.53,9.43,9.32,9.22,9.12,9.02,8.92,8.83
23,33.16,30.29,24.31,23.89,24.62,24.93,25.66,23.98,19.79,20.2,22.96,23.74,18.91,19.55,17.12,20.06,20.16,24.64,22.48,23.2,20.05,20.03,20.34,20.15,19.94,19.72,19.49,19.25,19.0,18.75,18.5,18.25,18.01,17.78,17.55,17.33,17.12,16.91,16.71,16.52,16.33,16.15,15.97,15.79,15.62,15.45,15.28,15.11,14.95,14.79,14.62,14.46,14.31,14.15,13.99,13.84,13.69,13.54,13.39,13.25,13.1,12.96,12.82,12.68,12.54,12.4,12.26,12.13,12.0,11.87,11.74,11.61,11.48,11.36,11.23,11.11,10.99,10.87,10.75,10.63,10.51,10.4,10.28,10.17,10.06,9.95,9.84,9.73,9.63,9.52,9.42,9.32,9.21,9.11
24,27.47,27.12,29.6,25.84,22.06,25.84,23.17,20.62,20.75,22.3,20.01,22.28,17.13,21.22,24.43,16.87,22.12,26.62,23.04,23.57,21.5,21.17,20.98,20.79,20.59,20.37,20.14,19.89,19.65,19.4,19.15,18.9,18.66,18.43,18.2,17.97,17.76,17.55,17.35,17.15,16.96,16.77,16.59,16.41,16.23,16.05,15.87,15.7,15.53,15.36,15.19,15.02,14.86,14.7,14.54,14.38,14.22,14.07,13.91,13.76,13.61,13.46,13.31,13.17,13.02,12.88,12.74,12.6,12.46,12.33,12.19,12.06,11.93,11.8,11.67,11.54,11.41,11.29,11.16,11.04,10.92,10.8,10.68,10.57,10.45,10.34,10.22,10.11,10.0,9.89,9.78,9.68,9.57,9.47
25,29.21,23.34,26.32,28.98,25.08,26.09,24.2,24.51,24.12,22.39,24.5,20.19,29.4,21.79,21.81,23.78,23.89,20.53,23.36,22.43,22.52,22.34,22.15,21.96,21.75,21.52,21.28,21.03,20.78,20.52,20.26,20.01,19.77,19.52,19.29,19.06,18.84,18.62,18.41,18.2,18.0,17.8,17.61,17.41,17.22,17.04,16.85,16.66,16.48,16.3,16.12,15.95,15.77,15.6,15.43,15.26,15.09,14.93,14.77,14.6,14.44,14.29,14.13,13.98,13.82,13.67,13.52,13.37,13.23,13.08,12.94,12.8,12.66,12.52,12.38,12.25,12.11,11.98,11.85,11.72,11.59,11.47,11.34,11.22,11.09,10.97,10.85,10.73,10.62,10.5,10.38,10.27,10.16,10.05
26,30.28,32.6,29.09,26.1,27.02,20.15,26.31,25.46,28.25,24.59,24.29,24.42,27.3,22.17,31.07,23.92,25.03,23.96,23.83,24.18,24.0,23.81,23.61,23.41,23.19,22.95,22.7,22.44,22.18,21.91,21.64,21.38,21.13,20.87,20.63,20.39,20.15,19.92,19.7,19.48,19.27,19.06,18.85,18.64,18.44,18.24,18.04,17.84,17.64,17.45,17.26,17.07,16.89,16.7,16.52,16.34,16.16,15.98,15.81,15.63,15.46,15.29,15.13,14.96,14.8,14.64,14.48,14.32,14.16,14.01,13.85,13.7,13.55,13.4,13.26,13.11,12.97,12.83,12.69,12.55,12.41,12.27,12.14,12.01,11.88,11.75,11.62,11.49,11.36,11.24,11.12,11.0,10.87,10.76
27,27.44,28.89,31.13,35.47,26.22,28.74,22.96,24.72,28.18,24.52,26.03,28.45,29.91,28.73,32.93,27.68,27.25,25.69,25.66,25.46,25.27,25.07,24.87,24.65,24.42,24.18,23.92,23.65,23.38,23.1,22.83,22.56,22.29,22.03,21.78,21.53,21.29,21.05,20.81,20.59,20.36,20.14,19.92,19.7,19.48,19.27,19.06,18.85,18.64,18.44,18.24,18.04,17.84,17.65,17.45,17.26,17.07,16.89,16.7,16.52,16.34,16.16,15.98,15.81,15.64,15.46,15.3,15.13,14.96,14.8,14.64,14.48,14.32,14.16,14.01,13.85,13.7,13.55,13.4,13.26,13.11,12.97,12.83,12.69,12.55,12.41,12.28,12.14,12.01,11.88,11.75,11.62,11.49,11.37
28,34.02,35.03,29.38,33.24,32.28,34.7,25.71,31.9,28.28,31.52,28.43,26.64,32.37,27.31,30.7,27.1,27.01,27.4,27.19,26.98,26.78,26.57,26.35,26.13,25.88,25.63,25.36,25.08,24.79,24.51,24.22,23.94,23.66,23.39,23.13,22.86,22.61,22.36,22.11,21.87,21.63,21.39,21.16,20.93,20.7,20.47,20.25,20.03,19.81,19.59,19.38,19.17,18.96,18.75,18.54,18.34,18.14,17.94,17.75,17.55,17.36,17.17,16.98,16.8,16.61,16.43,16.25,16.07,15.9,15.72,15.55,15.38,15.21,15.05,14.88,14.72,14.56,14.4,14.24,14.09,13.93,13.78,13.63,13.48,13.33,13.19,13.04,12.9,12.76,12.62,12.48,12.34,12.21,12.08
29,28.71,30.01,26.45,29.37,34.79,34.48,31.94,26.12,30.4,30.54,30.37,30.88,35.54,34.14,30.65,29.59,29.72,29.47,29.25,29.03,28.81,28.58,28.35,28.1,27.84,27.57,27.28,26.98,26.68,26.38,26.08,25.78,25.49,25.2,24.91,24.64,24.36,24.09,23.83,23.57,23.31,23.06,22.8,22.55,22.31,22.06,21.82,21.58,21.35,21.11,20.88,20.65,20.43,20.2,19.98,19.77,19.55,19.34,19.12,18.91,18.71,18.5,18.3,18.1,17.9,17.71,17.51,17.32,17.13,16.94,16.76,16.58,16.39,16.22,16.04,15.86,15.69,15.52,15.35,15.18,15.01,14.85,14.69,14.53,14.37,14.21,14.05,13.9,13.75,13.6,13.45,13.3,13.16,13.01
