age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
20,47.07,21.3,21.31,15.63,35.49,25.01,34.63,43.21,18.94,14.11,9.05,35.94,9.34,19.44,20.29,25.89,15.38,15.79,27.22,39.07,5.7,22.19,21.94,32.11,24.59,22.19,21.88,21.57,21.25,20.93,20.61,20.29,19.99,19.69,19.4,19.13,18.87,18.62,18.38,18.15,17.93,17.72,17.51,17.31,17.12,16.93,16.74,16.56,16.38,16.2,16.02,15.85,15.67,15.5,15.33,15.16,15.0,14.83,14.67,14.51,14.35,14.2,14.04,13.89,13.73,13.58,13.44,13.29,13.14,13.0,12.86,12.72,12.58,12.44,12.3,12.17,12.04,11.9,11.77,11.65,11.52,11.39,11.27,11.14,11.02,10.9,10.78,10.66,10.55,10.43,10.32,10.21,10.09,9.98
21,21.07,37.92,21.32,31.58,35.05,45.13,29.63,33.83,37.93,18.76,18.28,18.29,33.48,29.62,35.82,36.29,25.66,26.22,26.75,22.59,11.21,16.34,21.89,22.98,23.37,23.09,22.79,22.48,22.17,21.85,21.53,21.22,20.92,20.62,20.34,20.06,19.8,19.55,19.3,19.07,18.85,18.63,18.42,18.21,18.01,17.81,17.62,17.42,17.23,17.04,16.86,16.67,16.49,16.31,16.13,15.95,15.78,15.61,15.44,15.27,15.1,14.94,14.77,14.61,14.45,14.29,14.14,13.98,13.83,13.68,13.53,13.38,13.23,13.09,12.95,12.8,12.66,12.53,12.39,12.25,12.12,11.99,11.86,11.73,11.6,11.47,11.34,11.22,11.1,10.98,10.86,10.74,10.62,10.5
22,43.11,10.9,16.13,15.59,5.0,10.02,10.02,19.59,19.28,33.74,14.18,33.25,14.94,35.54,41.54,26.5,36.49,15.82,22.0,22.56,27.98,11.12,20.97,24.28,24.03,23.75,23.46,23.15,22.84,22.53,22.22,21.91,21.61,21.32,21.03,20.76,20.5,20.25,20.0,19.77,19.54,19.32,19.1,18.89,18.68,18.48,18.28,18.08,17.88,17.68,17.49,17.3,17.11,16.92,16.74,16.55,16.37,16.19,16.02,15.84,15.67,15.5,15.33,15.16,14.99,14.83,14.67,14.51,14.35,14.19,14.04,13.88,13.73,13.58,13.43,13.28,13.14,13.0,12.85,12.71,12.57,12.44,12.3,12.17,12.03,11.9,11.77,11.64,11.51,11.39,11.26,11.14,11.02,10.9
23,27.13,38.52,21.41,5.25,25.2,30.69,20.45,24.99,39.84,24.77,24.28,19.64,10.18,36.23,10.61,16.18,21.12,37.95,27.6,45.16,22.9,24.66,25.28,25.05,24.79,24.52,24.23,23.93,23.62,23.31,23.0,22.69,22.39,22.1,21.82,21.54,21.28,21.02,20.78,20.54,20.31,20.08,19.86,19.64,19.42,19.21,19.0,18.79,18.59,18.38,18.18,17.98,17.79,17.59,17.4,17.21,17.02,16.83,16.65,16.47,16.29,16.11,15.93,15.76,15.59,15.42,15.25,15.08,14.92,14.75,14.59,14.43,14.27,14.12,13.96,13.81,13.66,13.51,13.36,13.22,13.07,12.93,12.79,12.65,12.51,12.37,12.24,12.1,11.97,11.84,11.71,11.58,11.45,11.33
24,10.97,32.83,21.49,15.85,15.4,20.94,46.79,35.86,25.54,10.17,15.0,50.41,36.58,15.96,21.79,16.52,16.16,43.32,10.97,45.47,31.17,26.52,26.29,26.05,25.79,25.52,25.23,24.92,24.61,24.3,23.99,23.68,23.38,23.08,22.8,22.52,22.25,21.99,21.74,21.49,21.25,21.01,20.78,20.55,20.33,20.11,19.89,19.67,19.45,19.24,19.03,18.82,18.62,18.41,18.21,18.01,17.82,17.62,17.43,17.24,17.05,16.86,16.68,16.5,16.32,16.14,15.96,15.79,15.61,15.44,15.27,15.11,14.94,14.78,14.62,14.46,14.3,14.14,13.99,13.83,13.68,13.53,13.38,13.24,13.09,12.95,12.81,12.67,12.53,12.39,12.26,12.12,11.99,11.86
25,27.4,32.72,27.03,42.76,31.57,37.4,36.94,26.04,31.16,25.9,20.37,66.37,31.95,26.93,32.78,16.68,53.15,15.99,38.0,30.66,28.41,28.18,27.95,27.7,27.44,27.15,26.85,26.53,26.21,25.89,25.57,25.25,24.94,24.63,24.33,24.04,23.76,23.49,23.23,22.97,22.71,22.46,22.21,21.97,21.73,21.49,21.26,21.03,20.8,20.57,20.34,20.12,19.9,19.68,19.47,19.25,19.04,18.84,18.63,18.43,18.22,18.02,17.83,17.63,17.44,17.25,17.06,16.87,16.69,16.51,16.33,16.15,15.97,15.8,15.62,15.45,15.28,15.12,14.95,14.79,14.63,14.47,14.31,14.15,14.0,13.84,13.69,13.54,13.39,13.25,13.1,12.96,12.82,12.68
26,27.24,21.88,27.24,43.65,26.71,37.82,26.53,42.02,20.96,15.68,20.39,30.8,26.66,42.94,43.66,5.44,41.41,15.71,26.85,30.62,30.38,30.14,29.9,29.63,29.35,29.06,28.74,28.41,28.08,27.74,27.4,27.07,26.75,26.43,26.11,25.81,25.51,25.23,24.94,24.67,24.4,24.13,23.86,23.6,23.34,23.09,22.84,22.59,22.34,22.1,21.85,21.61,21.38,21.14,20.91,20.68,20.46,20.23,20.01,19.79,19.58,19.36,19.15,18.94,18.73,18.53,18.33,18.13,17.93,17.73,17.54,17.35,17.16,16.97,16.78,16.6,16.42,16.24,16.06,15.89,15.71,15.54,15.37,15.2,15.04,14.87,14.71,14.55,14.39,14.23,14.08,13.92,13.77,13.62
27,65.34,21.91,71.31,21.98,43.07,32.42,26.6,15.73,36.58,41.66,50.78,51.24,15.84,37.2,16.0,47.5,76.4,43.34,32.89,32.64,32.39,32.13,31.87,31.6,31.3,30.99,30.66,30.31,29.96,29.61,29.26,28.92,28.58,28.24,27.91,27.6,27.28,26.98,26.68,26.39,26.1,25.81,25.53,25.25,24.97,24.7,24.43,24.16,23.9,23.64,23.38,23.12,22.87,22.62,22.37,22.13,21.88,21.65,21.41,21.17,20.94,20.71,20.49,20.26,20.04,19.82,19.61,19.39,19.18,18.97,18.76,18.56,18.35,18.15,17.95,17.76,17.56,17.37,17.18,16.99,16.81,16.62,16.44,16.26,16.08,15.91,15.73,15.56,15.39,15.22,15.06,14.89,14.73,14.57
28,38.03,65.83,32.99,27.56,48.63,10.8,68.9,36.49,46.7,41.55,25.27,30.36,47.09,25.99,41.29,41.41,36.77,35.3,35.03,34.76,34.5,34.23,33.95,33.66,33.35,33.02,32.67,32.31,31.94,31.58,31.21,30.85,30.49,30.14,29.8,29.46,29.13,28.81,28.49,28.18,27.87,27.57,27.26,26.97,26.67,26.38,26.09,25.8,25.52,25.24,24.97,24.69,24.42,24.16,23.89,23.63,23.37,23.12,22.86,22.61,22.37,22.12,21.88,21.64,21.4,21.17,20.94,20.71,20.48,20.26,20.04,19.82,19.6,19.39,19.17,18.96,18.76,18.55,18.35,18.15,17.95,17.75,17.56,17.37,17.18,16.99,16.8,16.62,16.44,16.26,16.08,15.9,15.73,15.56
29,32.53,16.49,49.49,27.65,21.63,80.66,21.04,46.39,5.16,36.07,39.97,35.04,40.91,30.17,25.34,34.78,38.01,37.7,37.41,37.13,36.85,36.56,36.27,35.95,35.62,35.27,34.9,34.52,34.13,33.74,33.36,32.98,32.6,32.23,31.87,31.51,31.17,30.82,30.48,30.15,29.82,29.49,29.17,28.85,28.54,28.22,27.92,27.61,27.31,27.01,26.71,26.42,26.13,25.85,25.56,25.28,25.01,24.73,24.46,24.2,23.93,23.67,23.41,23.16,22.9,22.65,22.4,22.16,21.92,21.68,21.44,21.2,20.97,20.74,20.52,20.29,20.07,19.85,19.63,19.42,19.21,19.0,18.79,18.58,18.38,18.18,17.98,17.78,17.59,17.4,17.21,17.02,16.83,16.65
