age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
20,80.62,87.85,84.24,77.48,70.2,74.67,68.66,75.5,64.36,55.23,53.03,47.64,43.62,47.78,46.17,47.37,46.49,51.34,55.39,52.36,50.83,46.11,46.8,44.15,46.82,47.24,46.74,46.08,45.32,44.58,43.78,42.9,42.12,41.41,40.7,39.96,39.37,38.9,38.41,38.01,37.46,36.88,36.53,36.27,35.91,35.4,34.94,34.47,34.12,33.8,33.37,33.06,32.8,32.43,32.1,31.72,31.24,30.87,30.54,30.22,29.96,29.72,29.43,28.98,28.56,28.26,27.91,27.66,27.44,27.13,26.79,26.46,26.22,25.99,25.61,25.21,24.94,24.8,24.7,24.36,23.99,23.66,23.32,23.1,22.86,22.68,22.49,22.2,21.9,21.67,21.44,21.2,20.96,20.72
21,82.76,83.72,63.53,73.6,69.25,73.8,63.79,66.88,67.52,54.68,45.41,47.64,48.71,50.61,52.55,45.85,54.91,54.72,45.0,55.46,57.53,41.17,53.97,49.44,49.8,49.37,48.85,48.33,47.62,46.76,46.0,45.3,44.68,44.02,43.26,42.59,42.05,41.46,40.95,40.48,39.92,39.44,39.04,38.67,38.29,37.8,37.35,37.03,36.7,36.2,35.72,35.36,34.97,34.61,34.28,33.77,33.29,32.98,32.66,32.4,32.07,31.76,31.4,31.02,30.68,30.25,29.92,29.61,29.27,28.97,28.65,28.34,27.98,27.63,27.35,27.05,26.8,26.53,26.16,25.83,25.55,25.31,25.12,24.92,24.62,24.29,23.95,23.52,23.3,23.15,22.84,22.68,22.53,22.14
22,85.52,81.02,71.47,75.11,70.8,72.87,60.36,59.91,58.19,50.15,43.42,47.95,50.96,51.48,46.29,52.41,55.42,45.9,52.96,50.39,52.2,52.66,51.22,51.84,51.59,51.27,50.89,50.23,49.46,48.86,48.14,47.44,46.81,46.18,45.49,44.83,44.21,43.61,43.07,42.53,42.12,41.68,41.16,40.79,40.32,39.85,39.48,39.05,38.59,38.17,37.71,37.35,36.97,36.49,36.09,35.65,35.24,34.93,34.61,34.21,33.94,33.56,33.08,32.69,32.29,31.99,31.67,31.17,30.84,30.63,30.25,29.83,29.49,29.22,28.96,28.61,28.16,27.83,27.62,27.31,27.04,26.81,26.49,26.15,25.85,25.53,25.2,25.07,24.93,24.56,24.18,23.95,23.64,23.34
23,87.03,79.68,76.94,71.9,75.24,65.19,68.42,50.92,58.37,52.54,58.04,54.26,56.94,49.43,53.35,52.7,56.94,57.73,59.68,56.97,49.6,52.41,53.76,53.72,53.49,53.16,52.59,51.9,51.39,50.78,50.1,49.47,48.86,48.11,47.32,46.78,46.19,45.57,45.05,44.62,44.19,43.72,43.25,42.69,42.13,41.68,41.25,40.84,40.46,40.05,39.6,39.12,38.61,38.21,37.82,37.38,36.97,36.53,36.07,35.73,35.34,34.89,34.53,34.21,33.94,33.66,33.14,32.66,32.4,32.0,31.57,31.23,30.91,30.66,30.34,29.94,29.58,29.41,29.07,28.63,28.23,27.79,27.55,27.28,26.99,26.76,26.5,26.3,26.01,25.57,25.27,25.05,24.82,24.66
24,71.61,73.21,78.4,71.6,67.31,64.1,51.39,50.17,55.01,55.12,57.0,58.27,50.57,59.98,61.11,53.77,58.45,50.31,55.24,55.22,54.29,55.57,55.51,55.23,55.04,54.7,54.16,53.66,53.09,52.52,51.88,51.19,50.46,49.72,49.16,48.62,48.06,47.47,46.81,46.29,45.95,45.57,44.97,44.33,43.8,43.29,42.81,42.41,42.11,41.71,41.13,40.59,40.09,39.68,39.3,38.8,38.32,37.87,37.54,37.14,36.67,36.29,35.86,35.48,35.14,34.73,34.29,34.0,33.69,33.29,32.88,32.42,32.1,31.8,31.43,31.1,30.9,30.52,30.13,29.69,29.23,28.95,28.56,28.23,28.02,27.71,27.46,27.26,26.98,26.68,26.39,26.16,25.93,25.56
25,79.57,73.37,71.78,72.76,60.91,64.72,58.92,63.74,49.76,68.92,65.5,61.41,62.43,64.85,63.22,57.73,56.81,48.59,56.97,56.42,57.23,57.12,56.94,56.75,56.54,56.19,55.73,55.2,54.62,53.99,53.38,52.75,52.03,51.38,50.76,50.17,49.64,48.95,48.32,47.88,47.5,46.9,46.28,45.74,45.23,44.86,44.32,43.85,43.56,43.04,42.46,41.99,41.49,40.96,40.37,39.94,39.59,39.27,38.8,38.26,37.86,37.47,37.1,36.78,36.32,35.84,35.53,35.18,34.81,34.42,33.94,33.56,33.19,32.76,32.46,32.15,31.74,31.45,31.13,30.7,30.24,29.82,29.59,29.26,28.9,28.67,28.34,28.0,27.72,27.5,27.27,26.97,26.67,26.37
26,79.24,81.06,79.77,63.57,58.49,61.77,62.17,73.35,55.88,68.29,57.53,64.33,62.97,66.0,67.93,67.73,63.41,61.58,58.05,59.09,58.89,58.76,58.56,58.4,58.12,57.75,57.38,56.76,56.12,55.64,55.07,54.33,53.64,52.95,52.29,51.81,51.18,50.53,49.97,49.39,48.87,48.35,47.76,47.33,46.97,46.29,45.63,45.24,44.89,44.37,43.87,43.41,42.85,42.18,41.67,41.36,41.01,40.56,40.02,39.48,39.07,38.74,38.38,37.86,37.4,37.05,36.68,36.27,35.9,35.52,35.12,34.68,34.19,33.91,33.49,33.05,32.79,32.5,32.12,31.64,31.25,30.98,30.61,30.21,29.86,29.49,29.09,28.75,28.54,28.39,28.1,27.72,27.42,27.13
27,78.94,73.28,68.5,62.3,57.82,64.83,66.62,65.44,64.38,63.7,63.71,69.46,66.57,68.11,62.57,61.97,55.53,59.96,61.38,61.08,60.96,60.9,60.74,60.49,60.12,59.79,59.39,58.74,58.19,57.65,56.95,56.32,55.61,54.9,54.35,53.66,53.07,52.5,51.74,51.19,50.76,50.09,49.55,49.11,48.53,47.93,47.34,46.9,46.44,45.93,45.44,44.98,44.36,43.77,43.39,42.95,42.53,42.08,41.48,40.93,40.52,40.19,39.83,39.31,38.73,38.32,37.95,37.49,37.12,36.82,36.36,35.87,35.53,35.12,34.65,34.29,34.05,33.63,33.12,32.72,32.42,32.15,31.79,31.4,30.98,30.54,30.22,29.95,29.68,29.32,28.95,28.65,28.35,28.05
28,84.6,70.39,72.65,65.76,59.42,65.27,67.59,72.96,70.39,75.38,73.33,67.08,70.92,69.24,68.85,65.44,63.21,64.09,63.69,63.6,63.59,63.31,63.11,62.82,62.42,62.14,61.6,61.06,60.55,59.84,59.23,58.5,57.72,57.15,56.4,55.76,55.14,54.46,53.89,53.27,52.64,52.12,51.57,51.01,50.46,49.75,49.18,48.75,48.23,47.67,47.12,46.61,46.07,45.61,45.1,44.6,44.18,43.6,43.0,42.52,42.17,41.83,41.34,40.7,40.24,39.9,39.48,39.02,38.54,38.12,37.68,37.26,37.0,36.48,35.96,35.75,35.31,34.78,34.42,34.16,33.8,33.34,32.98,32.6,32.26,31.9,31.51,31.18,30.83,30.47,30.11,29.81,29.51,29.22
29,78.76,74.94,72.55,69.94,71.87,65.66,75.83,69.22,81.03,77.83,70.52,82.41,73.34,78.25,69.19,66.93,67.28,66.66,66.39,66.3,66.0,65.78,65.62,65.28,64.91,64.44,63.92,63.4,62.77,62.1,61.42,60.7,60.05,59.3,58.62,57.99,57.29,56.65,55.94,55.25,54.71,54.11,53.49,52.92,52.29,51.72,51.09,50.55,50.05,49.5,49.03,48.33,47.73,47.28,46.78,46.28,45.73,45.21,44.67,44.19,43.77,43.37,42.88,42.37,41.91,41.58,41.1,40.46,39.99,39.57,39.15,38.82,38.3,37.8,37.56,37.03,36.48,36.16,35.89,35.44,34.95,34.63,34.35,34.12,33.58,33.01,32.77,32.51,32.09,31.67,31.31,30.94,30.65,30.36
30,79.69,77.58,71.78,77.66,71.4,76.75,72.8,80.43,83.52,75.17,79.02,80.53,78.32,71.93,70.63,71.05,70.13,69.51,69.16,68.84,68.59,68.44,68.13,67.81,67.47,66.98,66.42,65.8,65.06,64.32,63.63,62.96,62.29,61.58,60.96,60.18,59.41,58.8,58.07,57.41,56.8,56.17,55.49,54.99,54.39,53.59,53.1,52.63,52.08,51.48,50.7,50.02,49.55,49.11,48.61,48.11,47.57,46.98,46.44,45.95,45.54,45.07,44.58,44.06,43.61,43.1,42.5,41.99,41.6,41.13,40.66,40.27,39.78,39.36,38.87,38.3,37.96,37.65,37.12,36.61,36.41,36.17,35.76,35.26,34.8,34.44,34.14,33.74,33.26,32.77,32.34,32.05,31.76,31.4
31,80.43,81.67,76.45,71.4,83.16,78.96,90.12,85.39,79.55,87.38,88.76,89.47,76.07,75.33,75.51,74.21,73.21,72.59,72.17,71.91,71.66,71.35,71.01,70.69,70.32,69.76,69.16,68.34,67.52,66.83,66.12,65.5,64.77,64.04,63.33,62.61,61.92,61.14,60.5,59.83,59.15,58.44,57.88,57.32,56.52,55.92,55.38,54.75,54.08,53.44,52.8,52.31,51.79,51.23,50.73,50.05,49.44,48.98,48.37,47.82,47.4,46.99,46.43,45.8,45.29,44.72,44.13,43.69,43.3,42.79,42.33,41.9,41.42,41.02,40.42,39.93,39.61,39.05,38.6,38.38,38.05,37.48,37.02,36.73,36.34,35.85,35.34,34.88,34.47,34.13,33.84,33.48,32.98,32.56
32,85.69,77.82,99.36,94.2,87.39,79.43,86.78,94.05,99.5,89.25,89.19,86.02,81.24,80.75,79.13,77.77,76.85,76.23,75.85,75.55,75.2,74.74,74.3,73.82,73.3,72.83,72.13,71.31,70.58,69.88,69.19,68.37,67.57,66.83,66.08,65.31,64.51,63.77,63.06,62.38,61.63,60.96,60.46,59.85,59.04,58.34,57.68,57.06,56.54,55.91,55.28,54.62,53.98,53.48,52.93,52.31,51.77,51.18,50.51,49.95,49.52,48.99,48.31,47.8,47.35,46.72,46.08,45.59,45.15,44.65,44.27,43.79,43.34,42.82,42.25,41.84,41.27,40.8,40.5,40.09,39.57,39.08,38.83,38.48,37.82,37.28,36.84,36.45,36.19,35.84,35.42,35.0,34.57,34.22
33,84.62,89.11,92.96,85.65,98.16,97.51,93.7,105.96,96.1,94.91,93.73,88.03,86.62,84.83,83.12,81.8,80.85,80.18,79.79,79.4,78.89,78.38,77.79,77.25,76.75,76.2,75.4,74.53,73.88,73.2,72.38,71.47,70.66,69.87,68.97,68.21,67.45,66.71,65.97,65.18,64.47,63.79,63.13,62.41,61.65,60.96,60.38,59.78,59.15,58.41,57.67,57.14,56.51,55.9,55.35,54.67,54.06,53.47,52.85,52.35,51.86,51.2,50.57,50.06,49.5,48.75,48.11,47.76,47.27,46.72,46.23,45.77,45.4,44.84,44.22,43.64,43.16,42.77,42.35,41.82,41.32,41.04,40.59,40.05,39.67,39.2,38.7,38.25,37.71,37.3,37.02,36.67,36.17,35.69
