age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
20,91.0,107.53,84.27,114.72,76.87,121.58,109.61,100.68,98.76,59.3,72.1,57.15,45.32,80.55,53.19,29.86,47.95,70.72,45.45,62.65,73.64,54.6,62.82,52.21,58.15,60.44,59.92,59.4,58.86,58.31,57.74,57.17,56.59,56.02,55.46,54.91,54.37,53.84,53.32,52.8,52.27,51.75,51.21,50.66,50.1,49.55,49.01,48.47,47.94,47.42,46.9,46.39,45.88,45.38,44.88,44.39,43.9,43.42,42.95,42.48,42.01,41.56,41.1,40.65,40.21,39.77,39.33,38.9,38.48,38.06,37.64,37.23,36.82,36.42,36.02,35.63,35.24,34.85,34.47,34.09,33.72,33.35,32.99,32.62,32.27,31.91,31.57,31.22,30.88,30.54,30.21,29.88,29.55,29.23
21,123.08,124.8,80.35,100.21,116.63,104.87,78.36,54.14,99.34,87.63,48.01,81.61,59.55,71.29,73.14,53.43,77.79,79.27,78.03,56.11,85.98,59.91,53.2,60.62,63.55,63.09,62.62,62.13,61.62,61.09,60.54,59.98,59.41,58.85,58.28,57.73,57.17,56.62,56.08,55.53,54.98,54.42,53.85,53.27,52.69,52.12,51.55,50.99,50.43,49.88,49.33,48.79,48.26,47.73,47.21,46.69,46.18,45.68,45.18,44.68,44.19,43.71,43.23,42.76,42.29,41.83,41.37,40.92,40.47,40.03,39.59,39.16,38.73,38.31,37.89,37.47,37.06,36.66,36.26,35.86,35.47,35.08,34.7,34.32,33.94,33.57,33.2,32.84,32.48,32.12,31.77,31.43,31.08,30.74
22,111.45,97.46,70.23,97.24,111.59,98.39,77.84,89.74,99.34,60.62,56.42,52.34,48.18,62.66,50.07,68.59,93.2,64.21,60.3,51.49,75.46,38.37,59.95,67.37,66.97,66.54,66.1,65.64,65.14,64.62,64.08,63.51,62.94,62.36,61.78,61.21,60.63,60.05,59.47,58.89,58.3,57.7,57.09,56.48,55.86,55.25,54.65,54.05,53.46,52.88,52.3,51.73,51.16,50.6,50.05,49.5,48.96,48.42,47.89,47.37,46.85,46.34,45.83,45.33,44.84,44.35,43.86,43.38,42.91,42.44,41.97,41.51,41.06,40.61,40.17,39.73,39.29,38.86,38.44,38.02,37.6,37.19,36.78,36.38,35.98,35.59,35.2,34.82,34.43,34.06,33.69,33.32,32.95,32.59
23,156.94,103.27,155.3,126.42,119.85,86.31,85.81,79.56,86.3,58.43,73.73,52.47,73.49,77.59,74.13,90.09,126.57,79.89,76.18,86.27,56.97,68.14,72.31,71.96,71.58,71.18,70.75,70.29,69.8,69.27,68.71,68.13,67.54,66.93,66.32,65.7,65.08,64.46,63.83,63.2,62.56,61.91,61.25,60.59,59.93,59.27,58.63,57.99,57.35,56.72,56.1,55.49,54.88,54.28,53.69,53.1,52.52,51.95,51.38,50.82,50.26,49.71,49.17,48.63,48.1,47.57,47.05,46.54,46.03,45.52,45.03,44.53,44.05,43.57,43.09,42.62,42.15,41.69,41.23,40.78,40.34,39.9,39.46,39.03,38.6,38.18,37.76,37.35,36.94,36.54,36.14,35.74,35.35,34.96
24,100.85,123.75,159.9,108.32,114.07,94.88,82.05,41.88,67.83,51.15,57.75,69.22,57.3,96.27,111.18,79.35,100.74,90.35,71.21,73.79,75.18,76.51,76.2,75.88,75.52,75.13,74.7,74.24,73.74,73.2,72.63,72.02,71.4,70.77,70.12,69.47,68.81,68.14,67.47,66.79,66.1,65.4,64.7,64.0,63.3,62.61,61.92,61.25,60.58,59.91,59.26,58.61,57.97,57.34,56.71,56.09,55.47,54.87,54.27,53.67,53.09,52.51,51.93,51.36,50.8,50.25,49.7,49.15,48.62,48.08,47.56,47.04,46.52,46.02,45.51,45.01,44.52,44.03,43.55,43.08,42.61,42.14,41.68,41.22,40.77,40.33,39.89,39.45,39.02,38.59,38.17,37.75,37.34,36.93
25,109.69,116.38,146.63,123.17,67.23,119.7,109.19,87.48,60.28,79.75,98.99,103.48,107.61,105.98,125.17,99.08,68.9,40.82,66.93,76.74,80.57,80.25,79.96,79.65,79.3,78.91,78.48,78.0,77.48,76.92,76.32,75.69,75.03,74.36,73.68,72.98,72.28,71.57,70.85,70.12,69.38,68.64,67.9,67.16,66.42,65.7,64.98,64.27,63.56,62.87,62.18,61.5,60.83,60.16,59.51,58.85,58.21,57.57,56.95,56.32,55.71,55.1,54.49,53.9,53.31,52.73,52.15,51.58,51.01,50.46,49.91,49.36,48.82,48.29,47.76,47.23,46.72,46.21,45.7,45.2,44.71,44.22,43.74,43.26,42.78,42.32,41.85,41.4,40.94,40.49,40.05,39.61,39.18,38.75
26,117.84,112.91,119.73,117.12,81.44,104.14,66.76,85.57,71.79,105.41,74.82,104.79,96.49,104.63,105.08,79.22,98.87,77.11,82.94,85.33,84.93,84.62,84.34,84.02,83.66,83.25,82.79,82.29,81.73,81.13,80.49,79.82,79.12,78.4,77.67,76.92,76.17,75.4,74.62,73.84,73.05,72.26,71.48,70.7,69.92,69.16,68.4,67.65,66.91,66.18,65.46,64.74,64.03,63.33,62.64,61.96,61.28,60.61,59.95,59.29,58.64,58.0,57.37,56.74,56.12,55.5,54.9,54.3,53.7,53.12,52.54,51.96,51.39,50.83,50.27,49.72,49.18,48.64,48.11,47.58,47.06,46.55,46.04,45.54,45.04,44.55,44.06,43.58,43.1,42.63,42.16,41.7,41.25,40.79
27,129.51,115.69,143.32,98.51,100.14,87.48,75.99,96.8,105.9,105.76,81.14,96.73,115.65,108.86,94.68,100.73,59.93,82.83,90.9,90.34,89.94,89.63,89.33,89.0,88.6,88.16,87.66,87.11,86.51,85.86,85.16,84.43,83.68,82.9,82.11,81.3,80.48,79.66,78.82,77.98,77.14,76.3,75.47,74.64,73.82,73.02,72.22,71.43,70.65,69.87,69.11,68.35,67.61,66.87,66.14,65.41,64.7,63.99,63.29,62.6,61.91,61.24,60.57,59.9,59.25,58.6,57.96,57.33,56.7,56.08,55.47,54.86,54.26,53.67,53.08,52.5,51.92,51.36,50.8,50.24,49.69,49.15,48.61,48.08,47.55,47.03,46.52,46.01,45.51,45.01,44.52,44.03,43.55,43.07
28,150.01,139.44,112.92,105.62,115.54,91.11,102.27,125.11,97.79,126.78,106.65,124.07,111.16,101.87,74.0,81.13,93.01,97.24,96.45,95.88,95.46,95.13,94.79,94.41,93.97,93.48,92.92,92.31,91.65,90.94,90.18,89.38,88.56,87.72,86.86,85.99,85.1,84.21,83.31,82.41,81.51,80.62,79.74,78.87,78.01,77.15,76.31,75.48,74.65,73.83,73.03,72.23,71.44,70.66,69.88,69.12,68.36,67.62,66.88,66.15,65.42,64.71,64.0,63.3,62.61,61.92,61.25,60.58,59.91,59.26,58.61,57.97,57.33,56.71,56.09,55.47,54.87,54.27,53.67,53.09,52.51,51.93,51.36,50.8,50.25,49.7,49.15,48.62,48.08,47.56,47.04,46.52,46.01,45.51
29,115.09,138.69,152.99,97.07,113.26,108.67,151.49,91.48,156.4,112.84,153.22,119.79,80.66,116.69,107.54,104.93,104.24,103.14,102.33,101.73,101.29,100.91,100.52,100.08,99.58,99.02,98.39,97.71,96.98,96.19,95.36,94.49,93.59,92.68,91.75,90.8,89.85,88.89,87.93,86.98,86.02,85.08,84.15,83.23,82.32,81.42,80.53,79.65,78.78,77.92,77.07,76.22,75.39,74.57,73.75,72.94,72.15,71.36,70.58,69.81,69.04,68.29,67.54,66.8,66.07,65.35,64.63,63.93,63.23,62.54,61.85,61.18,60.51,59.85,59.19,58.54,57.9,57.27,56.64,56.02,55.41,54.81,54.21,53.61,53.03,52.45,51.87,51.31,50.74,50.19,49.64,49.1,48.56,48.03
