,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
20,28.52,26.5,28.86,27.15,27.97,25.19,21.3,23.85,24.03,20.69,17.97,21.36,18.95,18.57,21.2,20.35,17.1,19.66,17.92,17.83,17.4,17.08,16.67,16.32,15.94,15.53,15.22,14.82,14.46,14.22,14.01,13.75,13.46,13.28,13.14,12.92,12.72,12.57,12.41,12.28,12.11,11.88,11.78,11.65,11.51,11.37,11.23,11.09,10.86,10.77,10.59,10.41,10.36,10.29,10.16,10.01,9.92,9.77,9.62,9.54,9.48,9.37,9.2,9.12,9.04,8.92,8.8,8.7,8.66,8.56,8.47,8.37,8.27,8.23,8.12,8.0,7.81,7.68,7.61,7.53,7.45,7.3,7.21,7.19,7.03,6.87,6.78,6.68
21,29.42,27.78,29.95,25.07,23.44,27.69,26.04,25.46,16.16,23.17,21.46,20.34,21.44,17.16,24.01,19.81,21.92,18.41,18.38,17.95,17.54,17.17,16.85,16.44,15.98,15.64,15.33,15.07,14.84,14.59,14.32,14.06,13.84,13.61,13.34,13.18,13.05,12.85,12.7,12.57,12.4,12.25,12.15,12.02,11.88,11.74,11.6,11.39,11.24,11.14,10.97,10.79,10.66,10.53,10.32,10.18,10.09,10.0,9.92,9.84,9.71,9.53,9.43,9.35,9.21,9.09,8.98,8.94,8.84,8.74,8.65,8.55,8.45,8.35,8.24,8.12,8.13,8.0,7.87,7.86,7.71,7.56,7.54,7.45,7.29,7.13,7.04,7.01
22,32.02,28.44,27.49,24.97,24.47,25.03,20.19,18.19,23.19,17.52,21.18,24.24,19.14,21.79,17.82,23.61,18.76,18.79,18.43,18.02,17.56,17.2,16.89,16.48,16.11,15.84,15.59,15.33,15.03,14.72,14.56,14.37,14.09,13.8,13.54,13.38,13.19,13.06,12.98,12.79,12.62,12.54,12.37,12.25,12.11,11.97,11.84,11.7,11.61,11.45,11.28,11.09,10.97,10.77,10.56,10.42,10.26,10.17,10.09,10.01,9.88,9.7,9.6,9.52,9.39,9.26,9.15,9.05,8.95,8.85,8.76,8.67,8.57,8.47,8.36,8.31,8.25,8.12,8.06,7.98,7.84,7.75,7.73,7.64,7.48,7.39,7.36,7.27
23,32.84,30.72,24.16,22.91,24.65,25.23,25.39,24.03,21.03,20.95,23.69,24.31,19.38,21.51,17.78,19.27,19.3,18.94,18.53,18.07,17.7,17.36,16.99,16.65,16.41,16.14,15.88,15.62,15.26,15.07,14.92,14.66,14.39,14.1,13.97,13.75,13.5,13.45,13.31,13.13,13.03,12.88,12.72,12.59,12.46,12.25,12.12,11.98,11.83,11.8,11.63,11.45,11.32,11.12,10.92,10.7,10.55,10.46,10.37,10.23,10.04,9.92,9.88,9.74,9.6,9.48,9.37,9.27,9.17,9.08,8.99,8.9,8.8,8.7,8.59,8.55,8.43,8.36,8.3,8.16,8.08,8.0,7.91,7.82,7.73,7.63,7.54,7.44
24,26.64,27.41,29.19,25.33,21.72,25.59,24.36,21.21,21.08,22.01,20.05,24.28,18.68,21.77,20.04,20.12,19.69,19.28,18.97,18.6,18.18,17.79,17.49,17.22,16.9,16.61,16.41,16.13,15.9,15.71,15.42,15.22,15.01,14.87,14.68,14.33,14.16,14.06,13.87,13.69,13.52,13.38,13.29,13.09,12.89,12.76,12.63,12.49,12.41,12.25,12.07,11.96,11.77,11.63,11.49,11.27,11.11,11.02,10.86,10.66,10.52,10.41,10.24,10.16,10.03,9.91,9.8,9.7,9.61,9.45,9.36,9.27,9.18,9.08,8.98,8.86,8.81,8.69,8.55,8.54,8.4,8.25,8.23,8.2,8.05,7.89,7.86,7.83
25,29.12,23.81,26.36,29.67,25.4,26.64,24.71,24.39,24.51,22.77,24.63,22.84,30.23,21.28,21.41,20.97,20.62,20.3,19.88,19.48,19.16,18.78,18.4,18.11,17.78,17.53,17.3,17.07,16.83,16.56,16.38,16.11,15.92,15.79,15.54,15.33,15.17,15.02,14.79,14.48,14.32,14.25,14.09,13.9,13.77,13.64,13.44,13.3,13.15,12.99,12.82,12.63,12.57,12.43,12.22,12.06,11.97,11.86,11.64,11.42,11.29,11.17,11.07,10.92,10.73,10.54,10.44,10.34,10.18,10.1,10.01,9.86,9.77,9.67,9.57,9.46,9.34,9.22,9.15,9.01,8.87,8.85,8.76,8.61,8.51,8.48,8.38,8.23
26,30.13,32.07,29.0,26.95,27.01,21.03,26.35,26.24,28.05,24.59,24.48,25.19,22.99,23.1,22.72,22.38,22.04,21.62,21.22,20.93,20.57,20.22,19.91,19.58,19.28,18.99,18.79,18.53,18.26,18.05,17.72,17.5,17.32,17.09,16.91,16.7,16.5,16.32,16.05,15.82,15.73,15.6,15.38,15.12,14.92,14.72,14.52,14.39,14.24,14.07,13.9,13.78,13.58,13.37,13.28,13.18,13.01,12.77,12.6,12.51,12.43,12.25,12.08,11.87,11.67,11.55,11.45,11.35,11.2,11.06,10.85,10.7,10.61,10.52,10.36,10.25,10.14,10.01,9.88,9.74,9.73,9.58,9.42,9.39,9.3,9.14,9.04,8.94
27,29.27,28.55,33.05,34.83,27.15,29.17,23.34,24.43,29.07,25.96,27.8,25.08,25.26,24.97,24.5,24.11,23.86,23.53,23.11,22.86,22.55,22.15,21.83,21.53,21.25,20.97,20.72,20.42,20.13,19.84,19.59,19.42,19.2,18.99,18.7,18.43,18.26,17.99,17.76,17.61,17.45,17.27,16.98,16.73,16.53,16.27,16.14,16.0,15.78,15.62,15.44,15.18,14.91,14.76,14.66,14.43,14.18,14.06,13.95,13.84,13.63,13.44,13.33,13.18,12.98,12.87,12.76,12.55,12.4,12.26,12.06,11.92,11.83,11.68,11.46,11.29,11.18,10.99,10.86,10.79,10.64,10.55,10.46,10.3,10.2,10.1,9.94,9.84
28,34.21,36.49,29.55,33.12,33.45,34.11,28.18,32.73,29.92,33.1,27.68,28.05,27.67,27.17,26.81,26.58,26.22,25.78,25.54,25.2,24.8,24.52,24.25,23.97,23.62,23.27,22.96,22.68,22.43,22.17,21.95,21.69,21.38,21.08,20.86,20.6,20.33,20.11,19.86,19.59,19.38,19.13,18.86,18.67,18.48,18.28,18.08,17.81,17.66,17.49,17.18,16.91,16.7,16.54,16.37,16.12,15.92,15.79,15.66,15.42,15.14,15.0,14.82,14.61,14.48,14.3,14.07,13.99,13.91,13.71,13.51,13.38,13.24,12.97,12.81,12.71,12.47,12.35,12.22,12.08,12.0,11.84,11.62,11.46,11.29,11.13,11.08,10.92
29,28.89,29.38,27.64,29.59,34.79,37.35,32.26,27.85,30.29,30.6,31.11,30.7,30.21,29.96,29.65,29.25,28.89,28.63,28.29,27.95,27.62,27.23,26.94,26.6,26.18,25.9,25.58,25.37,25.1,24.74,24.42,24.01,23.79,23.59,23.26,23.0,22.76,22.42,22.14,21.89,21.55,21.25,21.12,20.94,20.67,20.41,20.08,19.81,19.59,19.36,19.17,18.9,18.67,18.5,18.26,18.06,17.85,17.64,17.43,17.18,16.95,16.74,16.56,16.4,16.21,15.97,15.75,15.54,15.34,15.15,14.96,14.77,14.64,14.56,14.41,14.18,14.01,13.89,13.76,13.56,13.41,13.19,12.96,12.8,12.63,12.52,12.35,12.24
