age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
68,1033.8,1021.39,1009.14,997.19,985.38,973.59,962.02,950.67,939.35,928.23,917.19,906.23,895.42,884.85,874.38,863.95,853.73,843.47,833.22,823.21,813.37,803.57,793.84,784.34,774.96,765.74,756.64,747.59,738.6,729.66,720.87,712.27,703.73,695.31,686.89,678.57,670.43,662.37,654.51,646.78,639.03,631.44,623.9,616.41,609.13,601.81,594.46,587.31,580.41,573.54,566.63,559.74,552.98,546.39,539.85,533.38,526.91,520.71,514.65,508.41,502.24,496.15,490.17,484.31,478.52,472.84,467.15,461.53,455.98,450.52,445.12,439.79,434.53,429.33,424.19,419.11,414.09,409.13,404.24,399.4,394.61,389.89,385.22,380.61,376.05,371.55,367.1,362.71
69,1121.49,1108.01,1094.8,1081.81,1068.95,1056.3,1043.87,1031.44,1019.16,1007.1,995.1,983.2,971.56,960.03,948.6,937.45,926.27,915.16,904.19,893.28,882.44,871.83,861.4,851.01,840.87,830.87,820.91,811.08,801.34,791.73,782.25,772.81,763.54,754.39,745.27,736.3,727.54,718.88,710.21,701.76,693.45,685.14,676.95,668.89,660.89,652.92,645.12,637.45,629.85,622.25,614.7,607.34,600.07,592.93,585.9,578.83,571.93,565.17,558.38,551.7,544.95,538.34,532.02,525.58,519.26,513.09,506.9,500.81,494.81,488.89,483.04,477.26,471.54,465.9,460.32,454.81,449.37,443.99,438.68,433.43,428.24,423.11,418.05,413.05,408.1,403.22,398.39,393.62
70,1219.75,1205.1,1190.67,1176.59,1162.57,1148.83,1135.19,1121.61,1108.4,1095.29,1082.21,1069.32,1056.62,1044.17,1031.83,1019.45,1007.28,995.34,983.35,971.41,959.82,948.28,936.74,925.57,914.56,903.61,892.78,882.13,871.61,861.1,850.78,840.61,830.49,820.47,810.57,800.92,791.39,781.84,772.56,763.34,754.18,745.22,736.34,727.5,718.81,710.3,701.76,693.39,685.07,676.83,668.74,660.73,652.89,645.11,637.33,629.67,622.16,614.78,607.45,599.97,592.66,585.72,578.66,571.73,564.92,558.08,551.37,544.77,538.25,531.81,525.45,519.16,512.95,506.81,500.75,494.76,488.84,482.99,477.21,471.5,465.85,460.28,454.77,449.33,443.95,438.64,433.39,428.21
71,1330.16,1314.14,1298.49,1283.04,1267.72,1252.63,1237.79,1223.14,1208.61,1194.31,1180.14,1166.08,1152.33,1138.68,1125.01,1111.67,1098.55,1085.47,1072.36,1059.41,1046.67,1034.02,1021.62,1009.46,997.41,985.45,973.62,961.98,950.51,939.1,927.84,916.75,905.73,894.88,884.12,873.52,863.07,852.75,842.55,832.48,822.59,812.75,803.04,793.45,784.05,774.69,765.44,756.27,747.19,738.21,729.33,720.61,711.96,703.47,695.07,686.77,678.58,670.44,662.32,654.35,646.54,638.81,631.21,623.64,616.13,608.77,601.48,594.29,587.18,580.16,573.22,566.36,559.58,552.89,546.28,539.74,533.28,526.9,520.6,514.37,508.22,502.14,496.13,490.2,484.33,478.54,472.82,467.16
72,1454.53,1437.08,1419.98,1403.06,1386.43,1370.06,1353.69,1337.55,1321.82,1306.23,1290.72,1275.37,1260.19,1245.22,1230.47,1215.93,1201.53,1187.19,1172.81,1158.66,1144.81,1130.99,1117.44,1104.06,1090.84,1077.84,1064.93,1052.28,1039.64,1027.12,1014.92,1002.7,990.73,978.91,967.14,955.5,944.04,932.74,921.52,910.6,899.75,889.03,878.45,867.94,857.64,847.4,837.19,827.19,817.3,807.45,797.8,788.25,778.85,769.57,760.29,751.2,742.25,733.34,724.59,715.87,707.32,698.92,690.48,682.16,673.99,665.93,657.97,650.1,642.33,634.64,627.05,619.56,612.15,604.83,597.59,590.45,583.39,576.41,569.52,562.71,555.98,549.33,542.76,536.27,529.86,523.52,517.26,511.07
73,1594.76,1575.66,1556.98,1538.47,1520.17,1502.09,1484.22,1466.69,1449.42,1432.35,1415.31,1398.4,1381.79,1365.45,1349.25,1333.27,1317.53,1301.82,1286.14,1270.66,1255.39,1240.28,1225.32,1210.66,1196.33,1182.02,1167.9,1153.92,1140.04,1126.5,1113.06,1099.7,1086.6,1073.6,1060.65,1047.98,1035.44,1022.9,1010.74,998.78,986.84,975.15,963.47,951.99,940.61,929.3,918.22,907.26,896.37,885.73,875.16,864.57,854.28,844.07,833.95,824.05,814.17,804.39,794.75,785.24,775.88,766.56,757.29,748.17,739.23,730.39,721.66,713.04,704.51,696.09,687.77,679.55,671.43,663.4,655.47,647.63,639.89,632.24,624.68,617.22,609.84,602.55,595.35,588.23,581.2,574.25,567.39,560.6
74,1752.79,1731.84,1711.22,1690.99,1670.87,1651.01,1631.51,1612.17,1593.14,1574.29,1555.55,1536.99,1518.82,1500.97,1483.14,1465.54,1448.16,1430.95,1413.79,1396.72,1379.92,1363.36,1347.02,1330.94,1315.1,1299.44,1283.88,1268.51,1253.47,1238.53,1223.66,1208.98,1194.49,1180.22,1166.17,1152.16,1138.26,1124.73,1111.34,1098.05,1085.06,1072.08,1059.19,1046.54,1034.08,1021.77,1009.56,997.52,985.62,973.85,962.16,950.72,939.38,928.07,916.96,906.0,895.1,884.41,873.89,863.39,853.06,842.79,832.69,822.74,812.91,803.19,793.6,784.11,774.74,765.49,756.34,747.3,738.37,729.55,720.83,712.22,703.71,695.3,686.99,678.79,670.67,662.66,654.74,646.92,639.19,631.55,624.01,616.55
75,1930.13,1907.12,1884.48,1862.1,1839.97,1818.2,1796.67,1775.41,1754.45,1733.61,1713.0,1692.7,1672.87,1653.13,1633.38,1613.89,1594.85,1575.98,1557.0,1538.2,1519.82,1501.72,1483.7,1466.0,1448.57,1431.23,1414.13,1397.26,1380.61,1364.12,1347.8,1331.62,1315.65,1300.01,1284.42,1268.99,1253.91,1238.98,1224.18,1209.66,1195.21,1180.83,1166.81,1152.92,1139.17,1125.65,1112.24,1098.9,1085.79,1072.87,1060.03,1047.3,1034.74,1022.37,1010.14,998.09,986.17,974.39,962.68,951.2,939.87,928.58,917.49,906.53,895.7,885.01,874.44,863.99,853.68,843.48,833.41,823.45,813.62,803.9,794.3,784.81,775.44,766.18,757.03,747.99,739.05,730.23,721.51,712.89,704.38,695.96,687.65,679.44
76,2127.26,2101.85,2076.88,2052.29,2027.93,2003.95,1980.31,1956.87,1933.7,1910.88,1888.27,1865.95,1843.94,1822.05,1800.33,1779.01,1758.03,1737.17,1716.34,1695.68,1675.41,1655.41,1635.61,1616.11,1596.78,1577.71,1558.88,1540.36,1522.09,1503.94,1486.01,1468.12,1450.51,1433.17,1416.01,1399.14,1382.56,1366.07,1349.78,1333.71,1317.78,1302.07,1286.49,1271.2,1256.15,1241.13,1226.27,1211.68,1197.27,1182.97,1168.8,1154.81,1141.06,1127.43,1113.97,1100.62,1087.49,1074.49,1061.59,1048.96,1036.45,1024.08,1011.85,999.77,987.84,976.05,964.4,952.89,941.51,930.27,919.17,908.2,897.36,886.65,876.06,865.61,855.27,845.06,834.98,825.01,815.16,805.43,795.82,786.32,776.93,767.66,758.5,749.44
77,2345.59,2317.69,2290.28,2263.14,2236.3,2209.88,2183.81,2158.03,2132.56,2107.36,2082.43,2057.75,2033.45,2009.44,1985.53,1962.03,1938.86,1915.92,1892.95,1870.12,1847.88,1825.82,1803.97,1782.45,1761.2,1740.24,1719.52,1699.14,1678.94,1658.94,1639.15,1619.44,1600.05,1580.99,1562.14,1543.52,1525.15,1506.96,1488.94,1471.25,1453.73,1436.34,1419.32,1402.52,1385.69,1369.11,1352.86,1336.7,1320.79,1305.06,1289.51,1274.2,1258.98,1243.89,1228.99,1214.33,1199.84,1185.47,1171.31,1157.38,1143.57,1129.93,1116.45,1103.13,1089.97,1076.97,1064.12,1051.43,1038.88,1026.49,1014.25,1002.15,990.19,978.38,966.71,955.18,943.78,932.52,921.4,910.41,899.55,888.82,878.21,867.74,857.39,847.16,837.05,827.07
78,2588.57,2557.95,2527.62,2497.67,2468.11,2439.05,2410.3,2381.74,2353.59,2325.88,2298.39,2271.24,2244.41,2217.84,2191.62,2165.7,2140.19,2114.81,2089.46,2064.49,2039.82,2015.41,1991.43,1967.75,1944.34,1921.2,1898.33,1875.7,1853.34,1831.33,1809.51,1787.89,1766.62,1745.58,1724.71,1704.12,1683.86,1663.76,1643.97,1624.48,1605.11,1585.99,1567.19,1548.46,1529.99,1511.8,1493.79,1476.0,1458.4,1441.08,1423.94,1406.93,1390.15,1373.59,1357.13,1340.93,1325.04,1309.24,1293.58,1278.16,1262.92,1247.86,1232.99,1218.29,1203.77,1189.42,1175.24,1161.23,1147.39,1133.71,1120.19,1106.84,1093.64,1080.61,1067.73,1055.0,1042.42,1029.99,1017.72,1005.58,993.6,981.75,970.05,958.49,947.06,935.77,924.61,913.59
79,2861.19,2827.24,2793.83,2760.77,2728.16,2696.01,2664.04,2632.63,2601.74,2571.1,2540.81,2510.67,2481.04,2451.88,2422.8,2394.16,2365.89,2337.91,2310.04,2282.43,2255.23,2228.25,2201.74,2175.65,2149.82,2124.19,2098.86,2073.99,2049.34,2024.94,2000.84,1976.97,1953.44,1930.22,1907.23,1884.49,1862.07,1839.91,1818.03,1796.43,1775.03,1753.91,1733.11,1712.5,1692.07,1672.03,1652.18,1632.44,1613.04,1593.83,1574.84,1556.09,1537.55,1519.23,1501.09,1483.2,1465.49,1447.99,1430.74,1413.7,1396.86,1380.22,1363.78,1347.54,1331.49,1315.63,1299.96,1284.47,1269.17,1254.05,1239.12,1224.36,1209.77,1195.36,1181.12,1167.06,1153.15,1139.42,1125.85,1112.44,1099.19,1086.09,1073.16,1060.37,1047.74,1035.26,1022.93,1010.75
80,3171.13,3133.72,3096.66,3060.04,3023.99,2988.33,2953.07,2918.31,2883.97,2850.1,2816.48,2783.24,2750.51,2718.02,2685.79,2654.06,2622.92,2591.91,2561.07,2530.59,2500.28,2470.49,2441.22,2412.27,2383.64,2355.35,2327.46,2299.81,2272.48,2245.51,2218.71,2192.28,2166.24,2140.5,2115.04,2089.9,2064.99,2040.37,2016.24,1992.24,1968.53,1945.31,1922.26,1899.32,1876.8,1854.54,1832.42,1810.61,1789.11,1767.86,1746.86,1726.06,1705.52,1685.11,1664.96,1645.11,1625.44,1606.1,1586.99,1568.1,1549.44,1531.0,1512.78,1494.78,1476.99,1459.41,1442.04,1424.88,1407.92,1391.17,1374.61,1358.25,1342.09,1326.12,1310.34,1294.74,1279.33,1264.11,1249.07,1234.2,1219.51,1205.0,1190.66,1176.49,1162.49,1148.65,1134.99,1121.48
81,3528.32,3486.7,3445.51,3404.9,3364.92,3325.29,3285.99,3247.36,3209.27,3171.52,3134.21,3097.37,3060.91,3024.81,2989.13,2954.0,2919.22,2884.7,2850.45,2816.45,2783.02,2749.92,2717.18,2685.04,2653.28,2621.88,2590.8,2560.09,2529.81,2499.77,2470.03,2440.61,2411.51,2382.95,2354.74,2326.63,2299.0,2271.82,2244.74,2218.08,2191.95,2166.04,2140.26,2114.88,2089.83,2064.94,2040.35,2016.19,1992.27,1968.53,1945.22,1922.14,1899.2,1876.6,1854.24,1832.09,1810.31,1788.79,1767.52,1746.51,1725.75,1705.23,1684.96,1664.93,1645.14,1625.58,1606.25,1587.16,1568.29,1549.65,1531.22,1513.02,1495.03,1477.26,1459.7,1442.35,1425.2,1408.26,1391.51,1374.97,1358.63,1342.47,1326.51,1310.74,1295.16,1279.77,1264.55,1249.52
82,3939.4,3892.99,3847.13,3801.94,3757.32,3713.08,3669.45,3626.34,3583.73,3541.73,3500.21,3458.99,3418.34,3378.25,3338.53,3299.22,3260.44,3221.95,3183.74,3145.95,3108.59,3071.66,3035.36,2999.49,2963.96,2928.89,2894.23,2860.06,2826.17,2792.69,2759.55,2726.71,2694.43,2662.58,2630.96,2599.73,2568.95,2538.45,2508.33,2478.68,2449.42,2420.37,2391.68,2363.37,2335.3,2307.65,2280.33,2253.2,2226.35,2200.0,2174.02,2148.21,2122.62,2097.42,2072.54,2047.93,2023.61,1999.58,1975.84,1952.38,1929.2,1906.29,1883.66,1861.29,1839.19,1817.36,1795.78,1774.45,1753.39,1732.57,1711.99,1691.67,1671.58,1651.73,1632.12,1612.74,1593.59,1574.67,1555.97,1537.5,1519.24,1501.21,1483.38,1465.77,1448.36,1431.17,1414.17,1397.38
83,4408.26,4356.43,4305.18,4254.76,4204.85,4155.47,4106.74,4058.64,4011.1,3964.14,3917.69,3871.71,3826.35,3781.47,3737.03,3693.09,3649.69,3606.87,3564.2,3521.91,3480.3,3439.18,3398.53,3358.22,3318.5,3279.43,3240.78,3202.45,3164.57,3127.15,3090.21,3053.67,3017.54,2981.86,2946.5,2911.6,2877.14,2843.08,2809.47,2776.29,2743.47,2711.04,2678.98,2647.21,2615.91,2584.94,2554.24,2523.94,2494.04,2464.58,2435.42,2406.5,2378.04,2349.87,2322.01,2294.48,2267.27,2240.39,2213.83,2187.58,2161.64,2136.01,2110.68,2085.66,2060.93,2036.49,2012.35,1988.49,1964.91,1941.61,1918.59,1895.84,1873.37,1851.15,1829.21,1807.52,1786.09,1764.91,1743.98,1723.31,1702.87,1682.68,1662.73,1643.02,1623.54,1604.29,1585.26,1566.47
84,4938.43,4880.44,4823.45,4767.01,4711.17,4656.2,4601.75,4547.87,4494.74,4442.27,4390.33,4338.94,4288.14,4237.97,4188.16,4138.97,4090.69,4042.68,3994.93,3947.7,3901.16,3855.21,3809.57,3764.62,3720.35,3676.57,3633.26,3590.38,3548.05,3506.16,3464.83,3423.94,3383.51,3343.6,3304.03,3264.92,3226.36,3188.28,3150.62,3113.49,3076.8,3040.42,3004.45,2968.92,2933.78,2899.11,2864.92,2831.01,2797.48,2764.47,2731.84,2699.51,2667.49,2635.92,2604.71,2573.88,2543.41,2513.31,2483.56,2454.16,2425.11,2396.4,2368.03,2340.0,2312.3,2284.93,2257.89,2231.16,2204.75,2178.65,2152.86,2127.38,2102.19,2077.31,2052.72,2028.42,2004.41,1980.68,1957.24,1934.07,1911.18,1888.55,1866.2,1844.11,1822.28,1800.71,1779.39,1758.33
85,5533.27,5468.6,5404.83,5341.91,5279.66,5218.0,5157.1,5096.95,5037.6,4978.96,4920.86,4863.38,4806.6,4750.43,4694.72,4639.86,4585.75,4532.04,4478.77,4426.05,4373.94,4322.35,4271.54,4221.36,4171.82,4122.85,4074.39,4026.49,3978.99,3932.12,3885.82,3840.05,3794.84,3750.08,3705.83,3662.19,3619.03,3576.29,3534.23,3492.73,3451.49,3410.76,3370.57,3330.71,3291.4,3252.73,3214.42,3176.38,3138.83,3101.89,3065.26,3028.9,2993.11,2957.75,2922.8,2888.27,2854.14,2820.42,2787.1,2754.17,2721.63,2689.47,2657.69,2626.29,2595.26,2564.6,2534.3,2504.36,2474.77,2445.53,2416.63,2388.08,2359.87,2331.98,2304.43,2277.2,2250.3,2223.71,2197.44,2171.48,2145.82,2120.47,2095.41,2070.66,2046.19,2022.01,1998.12,1974.52
86,6193.52,6121.45,6050.33,5980.1,5910.48,5841.71,5773.84,5706.73,5640.46,5574.89,5510.05,5445.91,5382.55,5319.8,5257.73,5196.58,5136.11,5076.22,5016.66,4957.64,4899.43,4841.9,4785.2,4729.17,4673.8,4619.07,4564.81,4511.29,4458.33,4405.88,4354.12,4302.9,4252.33,4202.34,4153.04,4104.21,4055.81,4008.14,3961.05,3914.51,3868.52,3823.07,3778.05,3733.49,3689.56,3646.23,3603.23,3560.73,3518.94,3477.44,3436.32,3395.81,3355.77,3316.21,3277.11,3238.47,3200.29,3162.56,3125.27,3088.43,3052.01,3016.03,2980.47,2945.33,2910.6,2876.29,2842.38,2808.87,2775.75,2743.02,2710.68,2678.72,2647.14,2615.93,2585.09,2554.61,2524.49,2494.73,2465.31,2436.25,2407.53,2379.14,2351.09,2323.37,2295.98,2268.91,2242.16,2215.72
87,6921.53,6841.18,6761.97,6683.62,6606.07,6529.78,6454.19,6379.32,6305.53,6232.61,6160.42,6088.84,6018.24,5948.42,5879.29,5811.06,5743.56,5676.7,5610.36,5544.59,5479.66,5415.74,5352.36,5289.78,5228.0,5166.88,5106.56,5046.87,4987.74,4929.25,4871.55,4814.39,4757.86,4702.21,4647.07,4592.48,4538.67,4485.43,4432.76,4380.84,4329.55,4278.76,4228.46,4178.78,4129.77,4081.31,4033.34,3985.94,3939.07,3892.75,3846.97,3801.72,3757.0,3712.81,3669.14,3625.99,3583.34,3541.19,3499.54,3458.38,3417.7,3377.5,3337.78,3298.52,3259.72,3221.38,3183.49,3146.04,3109.04,3072.47,3036.33,3000.62,2965.33,2930.45,2895.98,2861.92,2828.26,2794.99,2762.11,2729.63,2697.52,2665.79,2634.44,2603.45,2572.83,2542.57,2512.66,2483.11
88,7723.49,7634.32,7546.35,7459.17,7373.3,7288.49,7204.34,7121.37,7039.32,6957.97,6877.51,6798.04,6719.37,6641.77,6564.94,6488.92,6413.95,6339.49,6265.43,6192.36,6120.36,6048.91,5978.4,5908.88,5840.1,5772.18,5704.9,5638.38,5572.63,5507.62,5443.17,5379.35,5316.5,5254.42,5193.03,5132.34,5072.24,5012.9,4954.36,4896.46,4839.13,4782.47,4726.56,4671.2,4616.47,4562.34,4508.88,4456.11,4403.93,4352.27,4301.22,4250.76,4200.9,4151.62,4102.92,4054.79,4007.22,3960.21,3913.76,3867.85,3822.48,3777.64,3733.32,3689.53,3646.25,3603.48,3561.21,3519.43,3478.15,3437.34,3397.02,3357.17,3317.79,3278.87,3240.41,3202.4,3164.83,3127.71,3091.02,3054.76,3018.92,2983.51,2948.51,2913.92,2879.74,2845.96,2812.58,2779.58
89,8608.84,8510.09,8412.38,8316.02,8220.65,8126.26,8033.02,7940.78,7849.52,7759.33,7670.05,7581.6,7494.55,7408.46,7322.89,7238.52,7155.07,7072.27,6990.36,6909.1,6828.78,6749.61,6671.41,6593.94,6517.47,6441.89,6367.05,6293.18,6220.01,6147.45,6075.83,6005.09,5935.22,5866.2,5797.69,5729.96,5663.3,5597.41,5532.17,5467.63,5403.83,5340.84,5278.37,5216.58,5155.7,5095.66,5036.22,4977.31,4919.1,4861.57,4804.71,4748.52,4692.99,4638.1,4583.86,4530.25,4477.27,4424.9,4373.15,4322.01,4271.46,4221.51,4172.14,4123.34,4075.12,4027.46,3980.36,3933.81,3887.8,3842.33,3797.39,3752.98,3709.09,3665.71,3622.84,3580.47,3538.6,3497.21,3456.31,3415.89,3375.94,3336.46,3297.44,3258.87,3220.76,3183.09,3145.87,3109.08
90,9631.05,9522.58,9415.54,9309.6,9204.82,9101.12,8998.8,8897.67,8797.49,8698.31,8600.14,8503.07,8407.34,8312.44,8218.28,8125.38,8033.43,7942.49,7852.21,7762.64,7674.1,7586.78,7500.41,7414.83,7330.48,7247.05,7164.49,7082.78,7001.84,6921.93,6843.09,6764.91,6687.45,6610.93,6535.36,6460.57,6386.63,6313.59,6241.23,6169.83,6099.33,6029.35,5960.08,5891.78,5824.31,5757.58,5691.49,5625.15,5559.59,5494.79,5430.74,5367.45,5304.89,5243.06,5181.95,5121.55,5061.86,5002.86,4944.55,4886.92,4829.96,4773.67,4718.03,4663.04,4608.69,4554.97,4501.89,4449.41,4397.56,4346.3,4295.64,4245.58,4196.09,4147.19,4098.85,4051.08,4003.86,3957.19,3911.07,3865.49,3820.43,3775.9,3731.9,3688.4,3645.41,3602.92,3560.93,3519.42
91,10854.01,10737.48,10622.25,10508.23,10395.37,10283.96,10173.62,10064.3,9956.18,9849.17,9743.14,9638.39,9534.82,9432.04,9330.17,9229.34,9129.84,9031.28,8933.11,8835.71,8739.75,8644.8,8550.69,8457.68,8365.72,8274.94,8184.95,8095.79,8007.7,7920.62,7834.13,7748.5,7663.99,7580.53,7497.69,7415.71,7334.72,7254.31,7175.09,7096.85,7019.22,6942.44,6866.35,6791.11,6716.78,6643.2,6570.04,6497.68,6426.13,6355.35,6285.36,6216.14,6147.68,6079.98,6013.02,5946.8,5881.31,5816.54,5752.48,5689.13,5626.47,5564.51,5503.23,5442.62,5382.68,5323.4,5264.77,5206.79,5149.45,5092.74,5036.65,4981.19,4926.33,4872.07,4818.42,4765.35,4712.87,4660.97,4609.64,4558.87,4508.67,4459.01,4409.9,4361.34,4313.31,4265.8,4218.83,4172.36
92,12261.37,12137.74,12015.36,11894.22,11774.24,11655.38,11537.71,11421.31,11306.1,11191.91,11078.74,10966.52,10855.55,10745.67,10636.63,10528.75,10421.89,10315.78,10210.4,10106.05,10002.71,9900.44,9799.15,9698.92,9599.97,9501.91,9404.45,9308.13,9212.9,9118.38,9024.81,8932.14,8840.5,8749.69,8659.71,8570.78,8482.48,8395.15,8308.9,8223.45,8138.95,8055.0,7971.83,7889.72,7808.32,7727.37,7647.26,7567.98,7489.52,7411.87,7335.03,7258.99,7183.73,7109.26,7035.56,6962.62,6890.43,6819.0,6748.3,6678.34,6609.11,6540.59,6472.78,6405.68,6339.27,6273.55,6208.51,6144.14,6080.45,6017.41,5955.02,5893.29,5832.19,5771.73,5711.89,5652.67,5594.07,5536.08,5478.68,5421.88,5365.67,5310.05,5255.0,5200.52,5146.6,5093.24,5040.44,4988.19
93,13824.87,13694.51,13565.25,13437.36,13310.28,13184.69,13060.33,12936.73,12814.4,12693.38,12573.27,12453.99,12336.17,12219.46,12103.18,11988.07,11874.2,11760.99,11648.72,11537.18,11426.65,11317.29,11208.7,11101.37,10995.38,10889.77,10785.05,10681.83,10579.43,10477.76,10377.0,10277.0,10177.97,10080.18,9983.2,9886.87,9791.47,9697.14,9603.61,9511.09,9419.29,9328.08,9237.99,9148.72,9059.8,8971.75,8884.56,8798.21,8712.71,8628.03,8544.18,8461.14,8378.91,8297.48,8216.84,8136.98,8057.9,7979.59,7902.04,7825.24,7749.19,7673.88,7599.3,7525.45,7452.31,7379.88,7308.16,7237.13,7166.8,7097.15,7028.17,6959.87,6892.23,6825.25,6758.91,6693.23,6628.18,6563.76,6499.97,6436.8,6374.24,6312.29,6250.95,6190.19,6130.03,6070.46,6011.46,5953.04
94,15546.06,15408.97,15273.84,15139.59,15006.5,14874.82,14743.58,14613.5,14485.08,14357.62,14230.99,14105.36,13981.01,13857.19,13734.35,13612.89,13492.41,13372.94,13253.49,13134.81,13017.66,12901.38,12786.14,12672.09,12558.78,12446.41,12335.37,12225.27,12115.68,12006.94,11899.16,11792.3,11686.72,11581.76,11477.63,11374.45,11272.04,11170.45,11070.03,10970.53,10871.54,10773.52,10676.36,10579.55,10483.61,10388.54,10294.33,10200.98,10108.48,10016.81,9925.98,9835.97,9746.77,9658.38,9570.8,9484.01,9398.01,9312.78,9228.33,9144.65,9061.72,8979.55,8898.12,8817.43,8737.47,8658.24,8579.72,8501.92,8424.82,8348.42,8272.72,8197.7,8123.36,8049.69,7976.7,7904.36,7832.68,7761.66,7691.27,7621.53,7552.41,7483.92,7416.06,7348.81,7282.17,7216.13,7150.69,7085.85
95,17416.99,17275.0,17134.62,16995.29,16856.63,16718.84,16582.42,16447.17,16313.05,16180.02,16047.46,15916.05,15785.8,15656.56,15527.99,15400.31,15274.06,15148.27,15022.91,14898.25,14774.96,14652.9,14531.3,14410.62,14291.44,14173.32,14055.66,13938.78,13822.96,13708.11,13594.0,13480.73,13368.18,13256.87,13146.61,13036.64,12927.4,12819.47,12712.49,12606.21,12500.77,12396.24,12291.9,12188.43,12085.84,11984.1,11883.23,11783.2,11684.02,11585.67,11488.15,11391.45,11295.56,11200.48,11106.2,11012.72,10920.02,10828.1,10736.96,10646.58,10556.96,10468.1,10379.98,10292.61,10205.97,10120.07,10034.88,9950.41,9866.66,9783.61,9701.25,9619.59,9538.62,9458.33,9378.72,9299.77,9221.49,9143.87,9066.9,8990.58,8914.91,8839.86,8765.46,8691.67,8618.51,8545.97,8474.03,8402.7
96,19473.49,19327.15,19182.53,19038.38,18894.98,18753.27,18612.45,18472.55,18333.83,18195.78,18058.39,17922.39,17787.52,17653.23,17519.14,17386.3,17254.71,17123.8,16993.14,16863.2,16734.87,16607.21,16479.87,16354.31,16229.71,16105.18,15982.0,15859.88,15738.33,15617.69,15497.64,15378.25,15260.14,15142.98,15026.46,14910.59,14795.63,14681.35,14568.07,14455.88,14344.52,14233.1,14122.54,14012.83,13903.98,13795.98,13688.82,13582.48,13476.98,13372.29,13268.42,13165.35,13063.08,12961.61,12860.93,12761.03,12661.9,12563.55,12465.96,12369.12,12273.04,12177.71,12083.11,11989.25,11896.12,11803.72,11712.03,11621.05,11530.78,11441.21,11352.34,11264.15,11176.66,11089.84,11003.69,10918.22,10833.41,10749.26,10665.76,10582.91,10500.7,10419.14,10338.2,10257.9,10178.22,10099.15,10020.7,9942.87
97,21779.67,21630.5,21482.0,21334.0,21187.84,21042.25,20897.46,20754.12,20611.5,20469.48,20328.18,20187.79,20048.8,19910.21,19772.05,19634.72,19498.9,19363.99,19228.83,19094.32,18961.05,18828.44,18696.92,18566.15,18435.82,18307.06,18178.99,18051.42,17925.05,17799.08,17673.86,17549.36,17425.62,17303.19,17181.32,17059.94,16939.09,16819.27,16700.65,16582.8,16464.81,16347.66,16231.35,16115.86,16001.19,15887.34,15774.3,15662.06,15550.63,15439.98,15330.12,15221.05,15112.75,15005.22,14898.45,14792.45,14687.2,14582.69,14478.94,14375.92,14273.63,14172.07,14071.23,13971.11,13871.71,13773.01,13675.01,13577.71,13481.1,13385.18,13289.95,13195.39,13101.5,13008.28,12915.72,12823.83,12732.58,12641.99,12552.04,12462.73,12374.05,12286.01,12198.59,12111.8,12025.62,11940.06,11855.1,11770.75
98,24341.86,24189.85,24039.0,23889.3,23739.96,23591.89,23445.35,23299.71,23154.67,23009.51,22864.93,22721.71,22579.68,22438.2,22296.85,22156.83,22018.12,21878.9,21739.96,21602.27,21465.81,21329.51,21194.05,21059.23,20925.5,20792.57,20659.85,20528.57,20398.14,20268.31,20138.52,20009.45,19881.58,19754.45,19628.1,19502.24,19377.02,19252.64,19129.09,19005.44,18882.6,18760.55,18639.28,18518.8,18399.1,18280.17,18162.02,18044.62,17927.99,17812.1,17696.97,17582.58,17468.93,17356.02,17243.83,17132.37,17021.63,16911.61,16802.3,16693.69,16585.79,16478.58,16372.07,16266.24,16161.1,16056.64,15952.86,15849.74,15747.29,15645.51,15544.38,15443.9,15344.08,15244.9,15146.36,15048.46,14951.19,14854.55,14758.53,14663.13,14568.36,14474.19,14380.63,14287.68,14195.33,14103.57,14012.41,13921.84
99,27109.72,26958.51,26807.77,26656.63,26507.24,26359.5,26212.2,26065.13,25918.68,25772.86,25627.95,25484.42,25340.21,25196.71,25054.47,24912.92,24771.83,24630.99,24490.77,24351.07,24212.54,24074.99,23937.21,23800.12,23663.8,23528.13,23394.17,23260.86,23127.07,22993.75,22861.57,22730.23,22599.51,22469.52,22340.12,22211.09,22082.61,21955.25,21827.55,21700.6,21574.38,21448.9,21324.15,21200.12,21076.82,20954.23,20832.36,20711.19,20590.73,20470.97,20351.91,20233.54,20115.86,19998.86,19882.54,19766.9,19651.93,19537.63,19424.0,19311.03,19198.71,19087.05,18976.03,18865.66,18755.94,18646.85,18538.39,18430.57,18323.38,18216.8,18110.85,18005.51,17900.79,17796.68,17693.17,17590.26,17487.95,17386.24,17285.12,17184.58,17084.63,16985.27,16886.48,16788.26,16690.62,16593.54,16497.03,16401.08
