age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
20,78.71,86.52,83.48,74.76,65.07,68.86,64.61,73.48,57.85,52.47,49.59,45.54,42.9,44.37,45.26,48.57,45.25,49.72,38.78,37.57,36.15,34.81,33.49,32.36,31.3,30.31,29.39,28.53,27.77,27.02,26.32,25.63,25.09,24.61,24.1,23.67,23.22,22.79,22.38,22.02,21.75,21.45,21.18,20.94,20.74,20.54,20.28,20.01,19.85,19.68,19.35,19.07,18.84,18.6,18.34,18.14,17.99,17.83,17.61,17.35,17.11,16.84,16.59,16.43,16.3,16.12,15.9,15.76,15.63,15.44,15.26,15.07,14.87,14.67,14.46,14.23,14.06,13.94,13.75,13.6,13.45,13.29,13.13,12.9,12.73,12.55,12.44,12.33
21,76.6,78.18,63.03,70.84,63.57,69.86,62.16,66.33,61.45,50.53,43.97,44.3,47.44,47.44,49.11,44.22,52.62,41.56,40.42,38.89,37.41,36.13,34.97,33.84,32.83,31.86,30.91,30.04,29.27,28.51,27.79,27.22,26.71,26.19,25.75,25.28,24.79,24.35,23.97,23.7,23.43,23.15,22.89,22.58,22.25,21.99,21.73,21.53,21.31,21.0,20.81,20.59,20.29,20.04,19.84,19.63,19.4,19.23,19.01,18.68,18.38,18.16,17.97,17.81,17.56,17.26,17.05,16.85,16.66,16.48,16.3,16.12,15.93,15.73,15.53,15.37,15.26,15.08,14.89,14.75,14.6,14.31,14.09,13.92,13.74,13.69,13.45,13.21
22,83.69,78.59,70.06,73.42,65.15,66.99,58.05,56.44,54.14,46.61,40.76,46.43,49.39,50.11,45.39,49.17,43.16,42.05,40.44,38.96,37.67,36.43,35.36,34.32,33.3,32.4,31.57,30.82,30.05,29.35,28.74,28.23,27.67,27.11,26.68,26.28,25.82,25.41,25.12,24.85,24.52,24.25,23.93,23.56,23.3,23.05,22.79,22.52,22.17,21.93,21.74,21.39,21.15,20.97,20.7,20.42,20.19,20.01,19.79,19.52,19.27,19.05,18.86,18.58,18.27,18.04,17.83,17.57,17.33,17.15,16.98,16.8,16.62,16.43,16.22,16.07,15.9,15.66,15.53,15.39,15.12,14.96,14.79,14.62,14.51,14.27,14.03,13.86
23,79.58,75.46,68.09,66.14,70.28,62.48,64.28,46.76,54.62,50.95,55.58,52.7,53.05,44.04,50.62,43.85,42.76,41.3,39.93,38.62,37.37,36.3,35.32,34.29,33.35,32.58,31.82,31.07,30.43,29.79,29.18,28.61,28.06,27.63,27.27,26.81,26.36,26.09,25.75,25.36,25.11,24.77,24.46,24.22,23.97,23.72,23.46,23.13,22.85,22.61,22.29,22.0,21.77,21.52,21.19,20.84,20.61,20.43,20.2,19.93,19.69,19.47,19.28,19.06,18.81,18.58,18.31,18.06,17.88,17.71,17.54,17.3,17.06,16.88,16.68,16.46,16.24,16.06,15.87,15.67,15.52,15.3,15.14,14.97,14.79,14.62,14.44,14.26
24,66.39,66.96,69.27,69.12,61.4,60.0,47.86,49.52,51.95,51.93,54.31,54.6,46.71,54.13,44.46,43.44,42.07,40.78,39.5,38.29,37.2,36.21,35.17,34.29,33.55,32.72,32.02,31.39,30.69,30.11,29.61,29.1,28.56,28.09,27.72,27.39,27.01,26.58,26.25,26.0,25.68,25.42,25.11,24.81,24.56,24.3,23.99,23.66,23.38,23.08,22.76,22.54,22.3,21.98,21.65,21.37,21.13,20.89,20.66,20.45,20.2,19.98,19.79,19.46,19.15,18.92,18.72,18.53,18.35,18.18,17.95,17.72,17.48,17.24,17.04,16.83,16.67,16.49,16.24,15.98,15.77,15.62,15.39,15.22,15.05,14.87,14.69,14.52
25,76.04,70.17,63.43,66.43,58.44,58.18,51.46,58.15,46.12,62.85,58.38,54.84,52.81,45.65,44.72,43.36,42.09,40.83,39.59,38.47,37.46,36.48,35.66,34.9,34.09,33.37,32.71,32.08,31.55,31.02,30.45,29.88,29.4,29.06,28.71,28.2,27.77,27.54,27.24,26.93,26.68,26.3,25.86,25.57,25.32,25.0,24.69,24.43,24.15,23.84,23.58,23.3,23.06,22.81,22.47,22.12,21.82,21.64,21.4,21.12,20.87,20.65,20.34,20.01,19.76,19.53,19.33,19.14,18.91,18.68,18.52,18.23,17.94,17.75,17.56,17.41,17.25,16.95,16.7,16.57,16.36,16.14,15.97,15.74,15.57,15.39,15.15,14.98
26,75.33,77.32,74.29,58.81,55.25,55.32,58.95,67.78,51.36,60.84,51.01,56.97,47.62,46.76,45.37,44.11,42.87,41.65,40.51,39.48,38.57,37.69,36.85,36.07,35.37,34.68,33.99,33.39,32.85,32.31,31.78,31.25,30.79,30.4,29.88,29.5,29.27,28.95,28.56,28.2,27.83,27.39,27.08,26.85,26.54,26.23,25.98,25.72,25.44,25.07,24.68,24.4,24.09,23.77,23.43,23.14,22.95,22.64,22.33,22.11,21.85,21.63,21.37,21.04,20.73,20.51,20.31,20.06,19.77,19.55,19.33,19.11,18.88,18.64,18.45,18.18,17.9,17.73,17.54,17.34,17.19,16.97,16.75,16.57,16.34,16.1,15.86,15.68
27,73.01,67.55,63.01,55.88,53.25,61.95,62.66,57.77,57.9,55.88,58.29,50.38,49.52,48.14,46.8,45.56,44.41,43.29,42.25,41.27,40.34,39.48,38.7,38.02,37.26,36.52,35.84,35.2,34.65,34.21,33.65,33.04,32.65,32.24,31.79,31.41,31.09,30.76,30.34,29.93,29.57,29.26,28.96,28.61,28.23,27.92,27.61,27.23,26.82,26.45,26.12,25.83,25.58,25.25,24.96,24.72,24.4,24.14,23.88,23.53,23.21,22.97,22.66,22.32,22.07,21.85,21.65,21.35,21.07,20.85,20.58,20.3,20.08,19.84,19.53,19.27,19.05,18.82,18.63,18.44,18.22,18.06,17.83,17.54,17.3,17.06,16.87,16.69
28,79.15,63.32,67.48,60.99,54.81,61.56,62.58,64.81,63.02,65.47,53.78,52.95,51.6,50.27,49.02,47.81,46.69,45.61,44.6,43.61,42.74,41.98,41.18,40.38,39.64,38.95,38.26,37.64,37.12,36.6,36.0,35.48,35.06,34.62,34.12,33.69,33.4,33.0,32.58,32.25,31.89,31.53,31.18,30.7,30.26,29.89,29.45,29.13,28.78,28.41,28.14,27.84,27.52,27.18,26.82,26.5,26.23,25.89,25.5,25.14,24.87,24.63,24.31,24.02,23.78,23.5,23.18,22.89,22.61,22.28,22.01,21.86,21.58,21.29,21.05,20.73,20.45,20.22,19.98,19.78,19.62,19.4,19.11,18.81,18.57,18.38,18.13,17.94
29,74.72,66.72,64.48,65.94,67.22,59.99,67.72,63.22,70.5,57.8,57.03,55.59,54.25,53.01,51.75,50.63,49.52,48.48,47.39,46.46,45.72,44.87,44.05,43.19,42.44,41.86,41.22,40.54,39.94,39.38,38.84,38.3,37.85,37.33,36.79,36.42,36.0,35.54,35.23,34.86,34.38,33.97,33.5,33.02,32.65,32.28,31.97,31.58,31.17,30.8,30.4,30.09,29.7,29.28,28.97,28.64,28.29,27.94,27.59,27.27,26.99,26.62,26.23,25.95,25.64,25.3,24.99,24.71,24.43,24.11,23.85,23.59,23.32,23.03,22.68,22.42,22.15,21.86,21.61,21.41,21.14,20.79,20.55,20.37,20.12,19.87,19.68,19.43
