,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
20,31.44,28.3,28.78,28.59,29.41,26.3,21.44,25.0,24.22,22.63,18.53,21.36,19.77,19.23,20.89,21.42,17.94,19.01,18.25,18.16,17.76,17.44,16.99,16.64,16.25,15.83,15.51,15.11,14.76,14.53,14.26,13.97,13.73,13.53,13.35,13.16,12.94,12.76,12.64,12.53,12.3,12.03,11.94,11.82,11.69,11.56,11.44,11.3,11.1,11.02,10.86,10.62,10.5,10.45,10.32,10.18,10.1,9.95,9.81,9.67,9.55,9.44,9.29,9.21,9.15,9.04,8.93,8.84,8.81,8.72,8.64,8.55,8.46,8.43,8.26,8.09,7.92,7.79,7.73,7.66,7.52,7.32,7.24,7.22,7.07,6.92,6.83,6.75
21,30.23,28.82,29.99,27.64,24.42,26.76,27.52,27.45,16.48,24.29,19.73,19.92,22.74,18.13,24.94,19.86,22.3,18.74,18.76,18.37,17.91,17.47,17.11,16.7,16.25,15.9,15.58,15.3,15.07,14.84,14.57,14.34,14.11,13.85,13.56,13.37,13.28,13.12,13.0,12.83,12.6,12.47,12.31,12.13,12.0,11.88,11.75,11.56,11.42,11.34,11.18,11.01,10.89,10.77,10.58,10.44,10.36,10.27,10.12,9.99,9.87,9.7,9.55,9.41,9.29,9.18,9.07,9.04,8.95,8.87,8.78,8.7,8.61,8.52,8.42,8.31,8.32,8.2,8.08,8.01,7.81,7.67,7.65,7.51,7.3,7.15,7.06,7.03
22,33.11,29.37,27.96,25.64,25.85,26.57,21.64,19.99,22.35,20.06,20.44,23.93,19.36,21.32,19.02,23.82,19.14,19.19,18.84,18.41,17.9,17.48,17.13,16.72,16.34,16.06,15.8,15.51,15.23,14.94,14.78,14.61,14.39,14.08,13.79,13.6,13.4,13.3,13.25,13.08,12.92,12.79,12.57,12.45,12.27,12.08,11.95,11.83,11.75,11.61,11.45,11.28,11.16,10.98,10.79,10.65,10.5,10.41,10.33,10.26,10.13,9.91,9.75,9.68,9.5,9.33,9.22,9.13,9.04,8.96,8.88,8.79,8.71,8.62,8.52,8.48,8.43,8.31,8.25,8.18,8.04,7.96,7.88,7.74,7.59,7.44,7.35,7.27
23,33.33,30.35,24.38,23.73,24.75,26.49,26.1,25.49,22.53,20.77,24.61,23.5,20.75,22.04,20.45,19.59,19.62,19.31,18.91,18.43,18.02,17.61,17.2,16.86,16.61,16.33,16.06,15.83,15.54,15.31,15.1,14.87,14.64,14.4,14.23,13.99,13.73,13.65,13.54,13.38,13.28,13.16,13.0,12.83,12.64,12.45,12.27,12.08,11.94,11.92,11.77,11.6,11.48,11.3,11.1,10.9,10.76,10.67,10.58,10.45,10.27,10.16,10.13,9.93,9.75,9.64,9.48,9.33,9.25,9.17,9.09,9.0,8.92,8.83,8.73,8.69,8.58,8.52,8.46,8.33,8.26,8.18,8.1,8.02,7.87,7.72,7.64,7.55
24,25.61,28.34,29.96,27.16,22.55,26.07,24.65,22.91,21.62,23.4,19.42,25.55,18.67,23.0,20.39,20.48,20.09,19.68,19.31,18.91,18.45,18.06,17.79,17.51,17.18,16.88,16.72,16.48,16.19,15.95,15.67,15.49,15.27,15.1,14.94,14.58,14.4,14.27,14.05,13.89,13.74,13.61,13.53,13.35,13.17,12.98,12.8,12.67,12.6,12.45,12.23,12.07,11.89,11.76,11.63,11.43,11.28,11.19,11.04,10.84,10.72,10.61,10.46,10.38,10.26,10.09,9.94,9.85,9.76,9.57,9.43,9.35,9.27,9.18,9.08,8.98,8.94,8.82,8.7,8.69,8.56,8.42,8.4,8.37,8.23,8.08,8.05,7.96
25,29.89,24.5,27.34,30.38,25.42,27.48,25.68,25.57,24.99,24.06,24.04,22.62,30.62,21.71,21.87,21.44,21.01,20.67,20.27,19.84,19.54,19.17,18.76,18.46,18.11,17.84,17.6,17.4,17.21,16.91,16.73,16.43,16.17,16.07,15.85,15.62,15.38,15.22,15.03,14.75,14.6,14.54,14.39,14.16,13.97,13.86,13.67,13.55,13.41,13.2,12.98,12.81,12.76,12.63,12.43,12.28,12.19,12.09,11.88,11.62,11.43,11.32,11.22,11.09,10.91,10.74,10.64,10.56,10.36,10.23,10.15,10.01,9.93,9.85,9.76,9.6,9.43,9.32,9.26,9.13,8.99,8.98,8.89,8.75,8.66,8.63,8.54,8.39
26,30.77,32.03,29.0,28.11,29.26,23.29,26.47,27.49,29.6,25.22,25.94,25.21,23.53,23.65,23.25,22.84,22.48,22.12,21.74,21.42,21.03,20.62,20.27,19.94,19.61,19.31,19.14,18.97,18.71,18.45,18.13,17.87,17.68,17.49,17.29,17.0,16.79,16.66,16.43,16.23,16.08,15.9,15.64,15.34,15.16,14.98,14.8,14.67,14.54,14.39,14.23,14.12,13.87,13.61,13.53,13.44,13.28,13.05,12.83,12.68,12.61,12.43,12.27,12.08,11.9,11.79,11.7,11.62,11.42,11.24,11.05,10.92,10.84,10.76,10.55,10.39,10.29,10.17,10.05,9.93,9.91,9.77,9.63,9.6,9.45,9.24,9.15,9.06
27,31.18,30.0,34.37,34.1,29.13,29.56,23.94,26.5,30.95,26.0,28.28,25.81,25.94,25.65,25.17,24.72,24.51,24.17,23.71,23.44,23.1,22.65,22.29,21.98,21.73,21.49,21.27,20.99,20.65,20.37,20.13,19.86,19.64,19.48,19.17,18.83,18.64,18.44,18.25,18.06,17.79,17.57,17.31,17.07,16.89,16.65,16.53,16.41,16.21,16.06,15.84,15.47,15.16,15.02,14.93,14.71,14.48,14.36,14.25,14.15,13.95,13.77,13.66,13.53,13.35,13.19,13.04,12.78,12.59,12.47,12.29,12.16,12.09,11.95,11.75,11.6,11.43,11.2,11.08,11.01,10.88,10.8,10.71,10.5,10.35,10.26,10.1,10.01
28,34.71,37.0,31.6,33.73,33.73,34.55,27.89,33.36,29.63,34.81,28.57,28.9,28.54,28.01,27.64,27.39,26.95,26.52,26.3,25.95,25.48,25.14,24.9,24.65,24.34,23.97,23.62,23.3,23.05,22.8,22.52,22.23,21.98,21.68,21.38,21.11,20.84,20.63,20.43,20.13,19.87,19.65,19.34,19.11,18.93,18.75,18.57,18.33,18.19,17.98,17.62,17.32,17.06,16.91,16.75,16.51,16.33,16.2,16.07,15.84,15.58,15.45,15.28,15.02,14.79,14.57,14.37,14.29,14.22,14.05,13.87,13.75,13.63,13.32,13.12,12.97,12.69,12.58,12.46,12.33,12.26,12.11,11.91,11.76,11.6,11.44,11.4,11.19
29,30.05,33.76,31.27,29.77,34.46,38.19,33.45,28.65,31.56,31.69,32.19,31.75,31.24,30.95,30.63,30.18,29.81,29.6,29.3,28.9,28.51,28.15,27.88,27.51,27.06,26.74,26.37,26.11,25.83,25.5,25.17,24.8,24.53,24.27,23.99,23.67,23.38,23.12,22.84,22.55,22.24,21.91,21.73,21.56,21.32,21.02,20.66,20.41,20.21,20.0,19.76,19.45,19.18,18.96,18.73,18.54,18.34,18.14,17.94,17.7,17.48,17.29,17.06,16.8,16.56,16.35,16.15,15.96,15.79,15.62,15.45,15.28,15.04,14.86,14.72,14.52,14.36,14.25,14.13,13.94,13.8,13.6,13.39,13.18,12.96,12.86,12.64,12.48
